doc_id,parte,capit,sent_num
267,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",72
268,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",73
269,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",74
270,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",75
271,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",76
272,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",77
273,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",78
274,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",79
275,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",80
276,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",81
277,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",82
278,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",83
279,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",84
280,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",85
281,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",86
282,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",87
283,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",88
284,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",89
285,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",90
286,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",91
287,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",92
288,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",93
289,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",94
290,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",95
291,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",96
292,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",97
293,UKAB',"WA'E CHI K'UTE UB'ANOJ CHIK SIPAKNA,",0
294,UKAB',"WA'E CHI K'UTE UB'ANOJ CHIK SIPAKNA,",1
295,UKAB',"WA'E CHI K'UTE UB'ANOJ CHIK SIPAKNA,",2
296,UKAB',"WA'E CHI K'UTE UB'ANOJ CHIK SIPAKNA,",3
297,UKAB',"WA'E CHI K'UTE UB'ANOJ CHIK SIPAKNA,",4
298,UKAB',"WA'E CHI K'UTE UB'ANOJ CHIK SIPAKNA,",5
299,UKAB',"WA'E CHI K'UTE UB'ANOJ CHIK SIPAKNA,",6
300,UKAB',"WA'E CHI K'UTE UB'ANOJ CHIK SIPAKNA,",7
301,UKAB',"WA'E CHI K'UTE UB'ANOJ CHIK SIPAKNA,",8
302,UKAB',"WA'E CHI K'UTE UB'ANOJ CHIK SIPAKNA,",9
303,UKAB',"WA'E CHI K'UTE UB'ANOJ CHIK SIPAKNA,",10
304,UKAB',"WA'E CHI K'UTE UB'ANOJ CHIK SIPAKNA,",11
305,UKAB',"WA'E CHI K'UTE UB'ANOJ CHIK SIPAKNA,",12
306,UKAB',"WA'E CHI K'UTE UB'ANOJ CHIK SIPAKNA,",13
307,UKAB',"WA'E CHI K'UTE UB'ANOJ CHIK SIPAKNA,",14
308,UKAB',"WA'E CHI K'UTE UB'ANOJ CHIK SIPAKNA,",15
