chunk,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
11,0.07311154707271925,0.045220241053660994,0.0763129962476869,0.04874882474113325,0.1678805019332998,0.13665748324560714,0.0365719938013342,0.0820950094931522,0.09624260803855778,0.4119035968719101,1.0,0.21453771790566037,0.1713656432678281,0.19306343680580704,0.11911828148696826,0.1432100601081114,0.1265128001893911,0.052824761000990046,0.18337504873847668,0.15098514426732834,0.18053327066232325,0.17342470878940086,0.12304240074802418,0.15470311521415822,0.18629231934982501,0.14109018735723172,0.17587060088226408,0.1342592370844372,0.07803663639116988,0.036065055378285554,0.0697939695695762,0.04677220516796594,0.03036770944054662,0.0529850228042546,0.033187498402355214,0.02253293471913927,0.04392455728854946,0.04910940706796214,0.05064002087201845,0.0629896514467578,0.04734303706175638,0.06819130867514789,0.06248355476574413,0.04339664488506487,0.11375458767401529,0.06258651819579648,0.08646347496273403,0.08643893340462247,0.07925210420174093
12,0.07601063613283021,0.0211599809352447,0.04501730673204334,0.04818975450939353,0.10496683144606697,0.13566503590464393,0.029929928231830015,0.07347266469496903,0.07746329183761712,0.18289480920650644,0.21453771790566037,1.0000000000000004,0.09506764878546727,0.09947666340326741,0.05164863506409114,0.06273704293004598,0.09536161394217263,0.04598204596953974,0.15076801473361692,0.08830248592040936,0.16982870308569137,0.3026769417239992,0.14305736726174004,0.27416337742820707,0.16965481624331272,0.12927402120971232,0.12744692897620064,0.11619369990856707,0.06309938394701396,0.023453585278523644,0.049908662233040225,0.05117473183631697,0.06509044766185572,0.10206170453255095,0.03662775039215766,0.03627662513922742,0.04231110137004966,0.07464913227128779,0.053605742549145644,0.0762735676056521,0.056642168741697044,0.03813150532182348,0.073253932945307,0.05764282158742502,0.1344075268070016,0.0446039642039302,0.08539516993609222,0.10946624374503842,0.14746184380544405
13,0.0849587929381282,0.079024600387719,0.09041236433454564,0.05642934467343713,0.1472411429819883,0.1014550847001886,0.10789449727750608,0.08272218672994001,0.1070404124488875,0.17551530296164447,0.1713656432678281,0.09506764878546727,1.0000000000000002,0.4246417945888781,0.3621209469222344,0.1880043979737091,0.11323134544554284,0.11170237553935715,0.10366850399458756,0.07960790352954922,0.08729683446600414,0.0681363023513064,0.061161943293847026,0.12813083442710066,0.14677941968892452,0.09662345628690464,0.1203598455047121,0.12935868448617058,0.0850566178014842,0.08679910978914798,0.047767868100029164,0.0400642964128773,0.034219494520335354,0.06226045213187051,0.024275545446537074,0.034210216135782436,0.05067089135081272,0.05054716357616765,0.06682870687960969,0.044426938142488284,0.023930528095815175,0.07282140202087958,0.0535150547107718,0.05287020436232263,0.06750807724035308,0.06589032641560051,0.037244515738840876,0.03400704967656937,0.04500937717226838
14,0.09719648876726061,0.08120755090346016,0.05661753698289945,0.08821872507090607,0.12514926467962312,0.11029312253805186,0.1082445645402272,0.04714034589579135,0.06750551497572486,0.17370455338273427,0.19306343680580704,0.09947666340326741,0.4246417945888781,1.0,0.3731783971548061,0.15604593122697263,0.12663533409534952,0.07051613931083169,0.0966055944904919,0.12728399275551558,0.09369043311046676,0.05833232420315525,0.060305763723170924,0.09213719198069215,0.08032262452208837,0.11302963997455977,0.18698156864455318,0.12054602232973373,0.11194655596839828,0.10376475510040581,0.04764612802208571,0.07472868552558681,0.05424140747456085,0.07777039646393855,0.014170774059326534,0.01789095561791371,0.13599212049323475,0.07009678143780418,0.08375547143251406,0.06192877524367842,0.03195482471305592,0.047475453261613246,0.03826833712563116,0.04017503269030097,0.11734311396192329,0.04953679766794152,0.07178589386411365,0.09911484662772885,0.041235980517977985
15,0.07274342720873077,0.09893667470651664,0.11939147998016834,0.054263596516050304,0.08249669529433117,0.1807279181249371,0.032287586429712876,0.07201510846883734,0.09299953351349297,0.15640024345491163,0.11911828148696826,0.05164863506409114,0.3621209469222344,0.3731783971548061,1.0000000000000004,0.23225016073123236,0.39492422074477407,0.1515415423305161,0.24024128418973398,0.15012229755121198,0.11851265603288878,0.03902352750022318,0.048428004791388445,0.11531106586329351,0.12046044387452894,0.04238445583294656,0.05703542852564635,0.18408038363933857,0.14046616634923492,0.0910575770096367,0.07060497279992572,0.016867744208470183,0.029331835697126322,0.06715057843099177,0.039409011529006145,0.03968611228520992,0.048864984285312725,0.04125300215863434,0.10402761295134447,0.08688745616810849,0.029595833478623677,0.04100655108080153,0.04578962069629928,0.029401905848821238,0.02848984123505435,0.0326572359619509,0.030071394914772454,0.05968702130916814,0.022762799479569086
16,0.0629110780727666,0.1315225884560978,0.07134405432657545,0.06107170197611965,0.11079482856882034,0.08329982466894083,0.10604928716475791,0.07908703940962203,0.16944397572673708,0.21425763929950037,0.1432100601081114,0.06273704293004598,0.1880043979737091,0.15604593122697263,0.23225016073123236,1.0000000000000002,0.33900568350457555,0.14701013102277377,0.10565550069996446,0.053728157996155906,0.07270155460648682,0.034459677487914626,0.03891706195082622,0.10165451708819982,0.08916626024012031,0.05868524036252016,0.054809443181703915,0.07428431185187975,0.057727930594822535,0.07044188831341532,0.06002578857493113,0.028279072994311392,0.035540038567825595,0.06134646314947929,0.05226042355375146,0.13598402326834777,0.07049780899388833,0.044528217433844004,0.03055509878821591,0.04230561895721565,0.026433204884429844,0.054415867317003985,0.10912001219897191,0.042757685376237975,0.06555239599273102,0.0420738271477711,0.03444952338044367,0.0372231549399832,0.007413630320863886
17,0.03874382353854042,0.05416189837378989,0.15030026758015888,0.06097812374136256,0.05485202950465765,0.1695555905609053,0.02642653052023944,0.052593294580815825,0.0734814531551675,0.13117854162578713,0.1265128001893911,0.09536161394217263,0.11323134544554284,0.12663533409534952,0.39492422074477407,0.33900568350457555,1.0,0.18533076042082128,0.28248715162202065,0.1363030573072602,0.13389994624392887,0.028017884592514565,0.03329068020509372,0.08317354283817714,0.07052015538812387,0.036508264346940066,0.06844942086332194,0.14416730521857257,0.05466536417101657,0.07592566009401748,0.058182684767350716,0.016705199616742446,0.022323253641869333,0.038608160473458136,0.022442309582320095,0.06668585938903829,0.0202324356941884,0.026834029653655275,0.01976116545365075,0.00976100309775331,0.018926178995622253,0.026862454558568113,0.06300969001842066,0.028298474338000385,0.0255165619827657,0.019016308015867275,0.016499806402656615,0.018694360061270537,0.020243875068355423
18,0.08341816380529812,0.1828712348583268,0.09381380709010317,0.0996075964028658,0.08691569450897332,0.0818323950883528,0.06015338102502733,0.07301777740677426,0.10939818494369741,0.09000098873549767,0.052824761000990046,0.04598204596953974,0.11170237553935715,0.07051613931083169,0.1515415423305161,0.14701013102277377,0.18533076042082128,1.0000000000000004,0.18723780102320076,0.05973055281941028,0.07969245924022847,0.054585500317187535,0.06431922236871135,0.12143075388165153,0.12008361412414824,0.07478740722835027,0.08034602904050002,0.09711992156227649,0.10110235348818415,0.06028205162465082,0.05447425867438966,0.06306665629485876,0.050781989050548995,0.07298895633375249,0.04692562203348728,0.07220444667957855,0.14068382380424946,0.051109995031985614,0.02215180490663177,0.06300430778099526,0.026859802899725775,0.03279416271787722,0.05148826050287475,0.03838230357560542,0.03595082480829928,0.039529530736522364,0.029428906034879215,0.05837641477708025,0.017376363557739603
19,0.05391333907691964,0.0554857773004337,0.10971656081526236,0.054866852376381725,0.1097395103157745,0.17031925145590196,0.049041513726400636,0.11379671473063348,0.10738550609617058,0.1363914669305644,0.18337504873847668,0.15076801473361692,0.10366850399458756,0.0966055944904919,0.24024128418973398,0.10565550069996446,0.28248715162202065,0.18723780102320076,1.0,0.1510339673972164,0.17584482926294084,0.08218272568696026,0.12839803609504657,0.16645958646201076,0.20403317791762918,0.10220798064855782,0.09747888871034938,0.137890875599867,0.09891456124641992,0.06261203253783401,0.07106361353373754,0.04501169683016147,0.04795656204642648,0.06642650526571492,0.03694425283261487,0.03820355449303252,0.05009545803906205,0.05265100485843974,0.0625602759561746,0.042181256963656544,0.03708271301949084,0.04757290815541664,0.05138672992938373,0.030646864179468044,0.05211192381552124,0.02770132419042816,0.06049723139241472,0.059680762317914145,0.06669245748451849
20,0.03630469801817617,0.03208820879939061,0.06567235713533007,0.025495298434409116,0.0994206650518721,0.15039272657358263,0.045236955331920604,0.06311412800449608,0.09690335822831048,0.12459049851444025,0.15098514426732834,0.08830248592040936,0.07960790352954922,0.12728399275551558,0.15012229755121198,0.053728157996155906,0.1363030573072602,0.05973055281941028,0.1510339673972164,0.9999999999999998,0.18412811263480286,0.05479820598023248,0.09476775582721221,0.07897761305121447,0.11267664515333164,0.10018833457959803,0.09842171880629415,0.0690083749828968,0.03843594407824032,0.03477120709350508,0.05047982126473675,0.0261123279893662,0.03372945318750564,0.04233357113929416,0.01866129123363697,0.02047841445479195,0.029509906902070598,0.023358032773345694,0.02964686646954015,0.03259510268096279,0.0247370225260828,0.02720682304085607,0.026460345713559482,0.02542267423027005,0.04083814526592764,0.02084477829787012,0.04068597842288433,0.07574701234946653,0.026069522210222153
