doc_id,doc_str
571,are ri Wuqub' Kaqix jun nimache'
572,ri tapa'l
573,are k'u recha' ri Wuqub' Kaqix
574,are chulo'
575,chaq'an chuwi' che' jutaq'ij
576,xiloma
577,"kumal ri Jun Ajpu, Xb'alanq'e"
578,kik'ak'alen
579,ri Wuqub' Kaqix
580,e matzamoj ulo ri ka'ib' k'ajolab' pa xaq che'
581,ta xopon k'ut Wuqub' Kaqix
582,tak'al chuwi' recha' ri tapa'l
583,k'a te k'ut ta xub'axik kumal ri Jun Jun Ajpu
584,taqal ub'aq' wub'
585,churaquj uchi'
586,ta xpe chuwi che'
587,taqal chuwach ulew
588,chimalmat Jun Jun Ajpu
589,qitzij wi xb'e'uchapa'
590,k'a te k'ut ta xqupix ula uq'ab' ri Jun Jun Ajpu Wuqub' Kaqix
591,jusuk' xtzaq uloq
592,xmejo uloq tza'm uteleb'
593,ta xutzoqopij chi k'ut Jun Jun Ajpu Wuqub' Kaqix
594,xa wi utz xkib'ano
595,ma nab'e kich'akatajik taj
596,rumal Wuqub' Kaqix.
597,Uk'a'am chi k'ut uq'ab' ri Jun Jun Ajpu Wuqub' Kaqix
598,ta xb'e chi rochoch
599,xa chi k'u ulot'em ukakate' xoponik.
600,Naqi pa mixk'amow chi la'
601,xcha' k'u ri Chimalmat
602,rixoqil Wuqub' Kaqix.
603,Naqi pa ri' ri e ka'ib' k'axtok'
604,mixikiwub'aj mixsilib'ataj nukakate'
605,rumal xa kachuywaj e we
606,kaq'oxow chik
607,mi nab'e mixnuk'am uloq
608,chuwi' q'aq' k'ut chixeke' wi
609,chitzayab'a' chuwi q'aq'
610,ta kulkik'ama' chik
611,qitzij chi e k'axtok'
612,xcha' ri Wuqub' Kaqix
613,ta xuxekeb'a' uq'ab' ri Jun Ajpu.
614,Kina'ojinik chik ri Jujun Ajpu Xb'alanq'e
615,ta xkib'ij k'ut chi rech jun mama'
616,qitzij saq chik rismal wi chi mama'
617,jun k'u ati't
618,qitzij kemel ati't chik
619,xa keluq'ukila chik chi rijitaq winaq.
620,Saqinim Aq ub'i' mama'
621,Saqinimatzis k'ut ub'i' ati't
622,xecha' k'u ri k'ajolab' chi ke ri ati't mama'
623,kixqachb'ilaj taj
624,chib'etak'ama' qaq'ab' ruk' Wuqub' Kaqix
625,xa kojtere' chiwij
626,qi ri' qamam ri qachb'ilan
627,kaminaq kichuch kiqajaw
628,keje k'ut keterekotila' wi
629,chi qij ta la keqasipaj wi
630,rumal xa elesan uchikopil eyaj
631,kaqab'ano
632,kixcha'
633,keje k'u ri oj ak'alab'
634,chirilo ri Wuqub' Kaqix
635,xa wi oj kojya'wik
636,xecha' ri e ka'ib' k'ajolab'
637,utz b'a la' xecha' k'ut.
638,K'a te k'ut ta xeb'ek
639,tzamal k'u b'i ri Wuqub' Kaqix chuwach uq'alib'al
640,ta xe'ik'owik ri ati't mama'
641,ke'etzeyaj e ka'ib' k'ajolab' chi kij
642,ta xe'ik'ow chuxe' rochoch ajaw
643,kuraquj k'u uchi' ri Wuqub' Kaqix rumal re
644,ta xril k'ut Wuqub' Kaqix
645,ri mama' ati't kachb'ilan kib'
646,a pa kixpe wi qamam
647,xcha' k'u ri ajaw
648,xa oj tzuqub'ey qib'
649,lal ajaw xecha' k'ut.
650,Naqi pa itzuqub'al
651,ma iwalk'wal ri iwachb'ilan
652,maja b'i lal ajaw
653,e qamam ri'
654,xere nare
655,ri ya'xel jupir
656,kaqaya' chi kech lal ajaw
657,xecha' k'ut ri ati't mama'
658,kutzin k'u ri ajaw rumal uq'oxom re
659,xa kunimaqwachij chik kach'awik
660,in ta b'a' kanij
661,chitoq'ob'aj ta nuwach
662,naqi pa qi chib'ano
663,naqi on
664,xcha' k'ut ajaw
665,xa uchikopil eyaj chiqelesaj
666,xa k'u ub'aq' uwach chiqakunaj
667,xa b'aq chiqawiqo lal ajaw
668,xecha' k'ut
669,utz b'a la'
670,chikunaj ta b'a we
671,qitzij kaq'oxowik jutaq'ij
672,ma wi chokiitajik
673,maja b'i nuwaram rumal
674,ruk' ub'aq' nuwach
675,xa xiki'ub'aj e ka'ib' k'axtok'
676,ta xtikarik
677,ma wi kinechajik rumal
678,keje ta k'ut chitoq'ob'aj wi nuwach
679,xa kachuyub'
680,je chik ri we
681,utz b'a la' lal ajaw
682,chikop b'a kak'uxuwik
683,xa chok uk'exel
684,chel ri e la
685,ma b'a utz lo chel ri we
686,rumal xere in ajaw wi
687,nukawb'al ri we
688,ruk' ub'aq' nuwach
689,xchiqakoj chik na k'ut uk'exel
690,jok'om b'aq xchok chik
691,are k'ut jok'om b'aq
692,ri saqi'ixim
