chap_num,C,B,E,D,A,F
79,1.3168888193103323e-09,2.1503365629576234e-23,6.777414141181734e-06,0.0009582905299428242,1.2932723834156231e-20,0.023559696847826037
80,2.0186141100992846e-18,5.6380747219949846e-30,0.017842642238268303,8.624122934480325e-12,2.366722861203813e-49,2.0122560781445298e-28
81,1.5793838271781628e-26,1.3220506987727411e-25,1.3265005044891198e-16,0.01422342695064537,1.2035785787116824e-27,1.8979194049488575e-18
82,1.239161240330851e-32,6.881127406984873e-25,1.7301892694757065e-10,0.012805554467507424,2.9051339597860972e-24,1.5655685654795837e-07
83,6.229931796280152e-16,2.3139861606145232e-25,2.2556799078980717e-25,0.016908688433423445,7.652427562567008e-15,6.005657113251122e-23
84,9.274991207631314e-07,5.52300152747523e-12,0.014507826771091307,3.1293995452191366e-09,0.003977201881974076,5.004399854296634e-14
85,7.138633445526035e-19,0.009307302822380289,7.883130761118439e-19,2.6064362043953556e-11,0.007952451773326678,2.0562393136326675e-34
86,4.924131770651179e-27,1.83834429828594e-47,0.013194114248633997,1.5623247168261507e-23,1.5079732613926204e-66,8.851069962199384e-41
87,1.1342740682080552e-37,4.737706596149525e-45,0.015342628081035528,2.7279512692359902e-43,3.0720346375270482e-31,1.3273276399117045e-36
88,2.1559139280362294e-25,2.9866173449800454e-29,2.051507133459184e-20,0.01405698732563834,5.638884690094176e-22,1.6800133286335712e-36
89,7.968661690573266e-10,4.831325295921692e-21,0.01868031373509377,1.926361824335842e-16,7.056403930920086e-10,1.4356530954798236e-09
90,9.285041481647006e-16,1.770380658914933e-33,0.014392717136677023,1.0540398810947923e-21,0.0023568652584348283,2.2972799436045945e-29
91,3.06488957580939e-16,1.694811329646568e-15,0.012197437099427267,2.8008470383669487e-14,2.0974110276197515e-13,1.9811368681662183e-12
92,1.934996395429767e-34,2.307170018210503e-50,0.01479720013697173,5.136763654936298e-35,7.808461030217897e-22,2.50761499057002e-31
93,7.315945796691314e-43,3.598411373054196e-54,0.011316750269815452,7.18765840131899e-49,1.0470445377145138e-46,1.7302269983499422e-29
94,1.4449711070216856e-51,1.1262595505420886e-68,3.249935414704543e-55,1.0448258649753222e-67,3.089512347234146e-56,0.010275572405329085
95,9.112602079196973e-45,1.712201290795115e-38,2.2376373319807822e-42,6.173933955875739e-51,0.015539269339074143,1.7093692295385276e-64
96,4.187054804633919e-24,6.442456506833921e-31,0.014713498660550621,6.713626365280643e-26,4.1458507013383213e-26,2.5230315999525157e-31
97,1.2863069071667218e-39,1.7338834259527145e-61,1.7432265172412026e-37,6.858118318897938e-30,3.9765461622199874e-58,0.011460868120795817
98,2.726124455487597e-22,0.012886202667803187,5.642541592630468e-30,6.55239960813105e-29,1.0779755041422726e-11,3.3414376342914115e-18
99,6.190683066920616e-45,1.3979171066244655e-53,1.0630756733118713e-36,9.545651757410706e-28,1.845533903148135e-52,0.013934872368207937
100,8.284855333454854e-41,1.7635836383035309e-34,0.011724459994385723,2.6277198842174916e-21,5.2120775210729317e-20,9.975244458297294e-45
101,4.415584509133951e-31,3.953699110856868e-37,1.4051825518327362e-09,0.009024087299526562,1.0040669448341887e-51,1.0496501429182004e-28
102,7.495709795076919e-55,7.0467154181642595e-65,6.146142018326335e-57,0.008198540153064949,6.383031217183942e-116,8.923121254941906e-52
103,5.9373168014083365e-71,1.373503681904081e-75,3.5377390295498444e-83,6.92256884138364e-89,0.010556135695770375,4.717860536649688e-83
104,1.23248107328091e-31,3.169425988493801e-28,0.010347426340456888,1.5912256174996833e-20,9.025680676221242e-31,8.930840573374219e-17
105,1.332400440269026e-49,7.113496599999665e-58,1.9543566269808347e-51,6.1257093015308254e-61,0.013093581505357558,5.576085978571022e-49
106,6.756164489386028e-66,2.327065328068048e-58,2.7895391110254786e-82,5.395632653641156e-80,0.009770636505050466,9.012137972444344e-73
107,2.0246594366890555e-62,5.952235538128741e-65,6.025895711504733e-34,5.12195680847901e-44,0.012597371114770292,2.5765564109439784e-74
108,9.0326317005183e-45,3.2870418602036557e-74,3.4686578744351875e-39,1.0990823218239818e-79,0.008337421587518825,1.3811243383897368e-34
109,3.117620771077438e-42,2.6416033499313274e-51,5.878956871838095e-48,1.489674027514335e-63,8.063573961864117e-39,0.007357750681212544
110,7.609673903346494e-65,4.384147964461586e-62,2.0303036768477583e-46,1.3010144734284314e-75,8.072488001908612e-54,0.010067628962032463
111,5.128018067609786e-49,8.00321407133488e-58,0.00837641107799202,3.697657689482131e-36,3.0604740061847067e-74,1.0877660548119962e-66
112,5.708331092508681e-23,2.375438426634085e-06,0.00657674410949194,4.1234454916995124e-76,2.9213197645370936e-54,8.198630982778255e-41
113,1.832492143829572e-48,8.761854453680279e-54,2.483725241891669e-34,1.694698370648491e-55,1.0873113082316885e-34,0.009200987409261563
114,1.852489275566528e-53,5.480378015959654e-21,1.8178893671357865e-65,8.824137931598221e-90,2.631593875413237e-57,0.0085686654098749
