chap_num,G,E,H,A,C,F,D,B
78,1.6820733759776953e-11,6.566834266261513e-23,0.41154990257898966,1.6447761962731589e-09,2.9299720921911526e-16,9.780576732055491e-15,8.411417414810222e-14,2.825256471326777e-20
79,0.01930004001239373,2.2247852794131273e-23,0.42569172548542433,2.2459501065057322e-09,6.162734301361893e-16,3.3135727575327013e-15,2.849713709273405e-14,8.822521171102957e-21
80,0.018399470527917173,9.464099828417047e-33,0.3830269927762286,1.606195479230688e-09,4.917449504910136e-16,3.601934355807662e-32,1.1001547644277239e-27,1.644494503097471e-20
81,0.00014352814749190652,7.363551773544012e-37,0.29135027378769446,7.121978619089755e-18,6.857139262515304e-43,1.9037989873076285e-53,4.0021248949453586e-35,2.7452477505304593e-20
82,0.00014352814749190652,7.363551773544013e-37,0.29135027378769446,7.121978619089755e-18,6.857139262515304e-43,1.9037989873076287e-53,4.002124894945358e-35,2.7452477505304593e-20
83,8.714209662898964e-05,7.221313836679341e-26,0.28303239411957554,4.324551667505916e-18,1.76978984751425e-18,6.12987679781402e-32,2.211235592033884e-21,1.666758697686971e-20
84,1.802266357188498e-11,1.8381526129615432e-25,0.27017748917793716,1.2554696036203268e-21,4.504919611854455e-18,1.560332275807205e-31,5.628599688813461e-21,2.8887470336225425e-26
85,1.802266357188498e-11,1.8381526129615432e-25,0.27017748917793716,1.2554696036203268e-21,4.504919611854455e-18,1.560332275807205e-31,5.628599688813461e-21,2.888747033622543e-26
86,1.802266357188498e-11,1.8381526129615432e-25,0.27017748917793716,1.2554696036203268e-21,4.504919611854455e-18,1.560332275807205e-31,5.628599688813461e-21,2.888747033622543e-26
87,1.802266357188498e-11,1.8381526129615432e-25,0.27017748917793716,1.2554696036203268e-21,4.504919611854455e-18,1.560332275807205e-31,5.62859968881346e-21,2.888747033622543e-26
