doc_id,A,B,C,D,E,F
30,1.3455021587942964,1.3011293792651162,1.1693262398224924,1.2557753774217157,1.3341174879940312,1.346532476369389
31,1.3542560264229615,1.30467603149307,1.2478904781390903,1.3184213498088444,1.3549607132740213,1.3712500534711038
32,1.312472933317585,1.3007735865791001,1.190030251855101,1.2168942339973263,1.3108881150159455,1.3289219134344379
33,1.3558010917215864,1.3050838274724874,1.218832584895369,1.307124611690864,1.3566279637898608,1.378734392711735
34,1.3285066981995972,1.283887317200863,1.1479166167293073,1.2698208621278009,1.3131639217856006,1.3234531540412153
35,1.331752661042373,1.2487572390349324,1.1640604891846449,1.2684361966489495,1.3234259977528886,1.3610210759430024
36,1.3232033475530653,1.2634007653808264,1.1604058352855193,1.259456089854859,1.3175853981674341,1.3226214815349115
37,1.309366369856932,1.2996950230710274,1.2004599648056429,1.2641466975678277,1.2770024553346615,1.3178485528521646
38,1.3004095328544618,1.2763719680461898,1.1946082651240777,1.27078419842405,1.319023587416788,1.3420816575263086
39,1.3221193753753595,1.304969232822148,1.1706931894740868,1.2572825531830347,1.3225046706556989,1.3465610713477518
40,1.3075365886420292,1.268888037299104,1.1780394494613287,1.2586053655151523,1.3077974761114215,1.336437019142844
41,1.3107508866210371,1.3036912605949733,1.1823646219747788,1.2688163521875724,1.306255887302032,1.285785719521826
42,1.317420446896342,1.2914351265664732,1.1587870201136108,1.2738972678323182,1.3178162469378862,1.268149628357286
43,1.2681225215963656,1.2663040197735418,1.1545403634649802,1.2381732147252946,1.2650522691436135,1.2572131273251688
44,1.2640426474355282,1.301491958463564,1.243138160918304,1.246312521860536,1.289696626223572,1.2725170165840451
45,1.1078324551987782,1.3248295619935566,1.3287171067922237,1.3376431552593195,1.3324770817262628,1.336292390563681
46,1.0036859001146197,1.3047577704811526,1.3076461612036185,1.2826522959574407,1.2404239374202806,1.283334598123461
47,1.0517116611507658,1.3077973342701155,1.3198926836572793,1.323983172904559,1.1756137000670874,1.2526120170509716
