term_str,n,gloss
chuk'ulu,2,
chuk'ux,1,
chuka,1,
chukab'ij,1,
chukuyuka,1,
chul,4,
chulib'ij,1,
chulik'ama',1,
chulimal,2,
chulkikayij,1,
chulkimolob'a,1,
chulkimolob'a!,1,
chulkiya',4,
chulta'iya',1,
chumayij,1,
chumayjaj,1,
chunik'ajal,3,
chupan,5,
chupaxij,1,
chupel,1,
chupinaq,1,
chupuq'ij,1,
chuq'ab',5,
chuq'anal,1,
chuq'atanaj,1,
chuq'ijila,1,
chuqenel,1,
churaquj,2,
churiqo,1,
churiqo;,1,
chusaqb'isala',1,
chusik'ij,1,
chusiqa,1,
chut,1,
chutijo,2,
chutikoq,1,
chutolok',1,
chutukel,1,
chutz'iloj,1,
chutza'm,1,
chutzin,2,
chutzinik,4,
chutzinoq,1,
chutzukuj,2,
chuwa,4,
chuwab'axik,1,
chuwach,106,
chuwach!,1,
chuware,1,
chuweq,3,
chuwi,87,
chuwi',6,
chuwi:,1,
chuwijuyub,1,
chuwila',1,
chuwinoq,1,
chuxawaj,2,
chuxe',15,
chuxib'ij,1,
chuxik,12,
chuxik!,7,
chuxik-,2,
chuxik:,1,
chuxik;,1,
chuxo'l,3,
chuxoq,4,
chuxoq!,18,
chuxoq!-,1,
chuxoq-,2,
chuxoq:,1,
chuxukut,1,
chäj,6,
cortes,1,
cruz,1,
cxelejeb'ex,1,
de,2,
dios,1,
don,4,
donadiu;,1,
e,270,
echa,2,
echa',11,
echa';,1,
ek',4,
el,1,
eleb'al,2,
elenaq,2,
eleq'axik,3,
eleq'axik?,1,
eleq'ay,1,
eleq'ik,1,
eleq'om,1,
elesan,1,
elik,3,
eloq',1,
eqal,1,
eqech,1,
eray,1,
et,1,
eta,1,
eta'manel,1,
etamab'al,1,
etamanel,5,
etz'anem,1,
etz'anem:,1,
ewab'al,2,
ewal,2,
ewaxib'al,1,
ewaxo,1,
eyaj,2,
ib',1,
ib';,1,
ib'a,1,
ib'ate,1,
ib'i',3,
ib'i'?,1,
ib'inib'al,1,
ib'inib'al?,1,
ib'inik-,1,
ib'oy,3,
ich'ab'al,1,
ich'aja,1,
ichakab'al,1,
ichu'k,1,
ichuch,1,
ichäj,1,
ijuyub'al,1,
ik,4,
ik',13,
ik'ajol-,1,
ik'ama',1,
ik'amowab'al,1,
ik'exel,1,
ik'i,41,
ik'il,1,
ik'oje'ik,2,
ik'oq'ij,4,
ik'owen,1,
ik'owik,1,
ik'ux?,1,
ik'uxun;,1,
ikab'awil,2,
ikaj,5,
ikaj-,1,
ikamik,1,
ikik'el,1,
ikochib'al,1,
ikolb'al,1,
ikoq'ij,1,
il,2,
ilb'al,5,
ilo,1,
ilokab',15,
ilokab':,1,
ilokab';,4,
ilol,5,
in,33,
ina'oj,1,
ina'oj!,1,
ina'oj-,1,
inatab'al,1,
ipachq'ab'-,1,
ipam;,1,
ipatan,1,
ipatan:,1,
ipoy,1,
iq'aq',1,
iq'aq'?,1,
iq'aq'al,1,
iq'ij,2,
iqajaw,2,
iqajaw!,1,
iqajaw-,1,
is,2,
isachik;,1,
isamajel?,1,
isik',1,
isik'ib'al,1,
ismachi,1,
ismachi',9,
istayub',2,
istayul,6,
itaqa,1,
itinamit;,1,
ityo'jil,1,
ityo'jil!,1,
itze',1,
itzel,6,
itzij,2,
itzukum,1,
itzuqub'al?,1,
iwab'a,1,
iwach,3,
iwach:,1,
iwach?,1,
iwachb'ilan?,1,
iwajawal,1,
iwajil,1,
iwajil!,1,
iwal,1,
iwalaxik,1,
iwalk'wal,1,
iwarab'al,1,
iwati't,7,
iwati't-,1,
iwati't?,1,
iwatz,2,
iwe,8,
iwe!,4,
iwech,7,
iwech-,1,
iwecha',2,
iwecha'-,1,
iwecha?,1,
iweta'm,1,
iwex,1,
iwib',4,
iwib'!,6,
iwib'-,1,
iwila,2,
iwiy,2,
iwochoch,2,
iwonojel,3,
iwub'aj,1,
iwuk',5,
iwuk'-,1,
iwuk'a'm,1,
iwuk'a'm?,1,
iwumal,5,
iwumal!,3,
ix,63,
ixajoj!,1,
ixikin,1,
ixim,9,
ixoq,13,
ixsik'iy,1,
iya,2,
iyakalib'al;,1,
iyom,3,
ja,142,
ja!,1,
ja',27,
ja':,2,
ja';,1,
ja'?,2,
ja-,1,
ja:,6,
ja;,4,
ja?,1,
jab',6,
jab';,1,
jab'i'oq,1,
jach'a,1,
jak'ama',2,
jakawitz,39,
jakawitz';,1,
jakawitz;,5,
jal,17,
jal;,1,
jalajoj,4,
jalan,6,
jaljal,1,
jalk'atajinaq,1,
jalwachib'al,1,
jama',1,
janik,1,
janik',1,
janik'an,1,
japa,1,
jaq,1,
jarub',3,
jarub'-,1,
jaruj,1,
jat,2,
je,9,
je',1,
je'itaqa',1,
jeb'ejoj,1,
jeb'el,2,
jeb'elik,2,
jereb'aq,2,
jiq'onoq!,1,
jisab'aj,1,
jix,2,
jixqasaj,1,
jo,1,
jo',2,
jo'!,1,
joj,1,
jok,3,
jok!,1,
jok'om,2,
jokam,1,
joko,1,
joli,1,
joli;,1,
jolom,14,
jolom?,1,
joloman,1,
jolomax,3,
jolomax!,1,
jom,16,
jom-xuchax,1,
jom:,1,
jowol,1,
joxol,2,
joxol!,1,
joxowik,1,
ju,23,
juan,2,
jub'iq',1,
juch'il!-,1,
juch'ob',1,
jujun,38,
jujunal,5,
jujunal;,1,
jujunal?,1,
juk'i,2,
jul,19,
jul-,1,
jul:,1,
jula,1,
julajuj,1,
julisnab',1,
julujuj,2,
jumaj,11,
jumeta,1,
jun,308,
juna,2,
junahpu,1,
junajpu,133,
junajpu!,1,
junajpu-,1,
junajpu:,5,
junajpu;,1,
junajpu?,1,
junam,9,
junamataj,1,
junamatal,1,
junelik,1,
junoq,2,
junoq-xcha',1,
junraqan,2,
jupa,3,
jupaj,1,
jupujuj,1,
jupulik,1,
jupuloq,1,
jupunik,1,
juq'ul,1,
jur,1,
juraqan,11,
jusu,29,
jusuk',12,
juta,14,
jutaq,9,
juwinaq,7,
juyub',94,
juyub'!,1,
juyub'-,2,
juyub'-taq'aj;,1,
juyub':,2,
juyub';,1,
juyub'al,3,
k,2,
k',1,
k'a,27,
k'a!,1,
k'a'm,10,
k'a'm!,1,
k'a'm-,1,
k'a'm:,1,
k'a'm;,2,
k'a'm?,1,
k'a'maq,1,
k'a'maxik,2,
k'ajb'a,1,
k'ajb'ik,1,
k'ajim,1,
k'ajisab'al,3,
k'ajol,11,
k'ajol!,3,
k'ajol;,3,
k'ajol?,3,
k'ajolab',68,
k'ajolab'!,1,
k'ajolab'-,6,
k'ajolab':,8,
k'ajolab';,3,
k'ajolab'?,2,
k'ajolab'·,1,
k'ajolal,1,
k'ajolaxel,2,
k'ajolom,10,
k'ajolom:,3,
k'ajolom;,4,
k'akachamamoq,1,
k'akalolinik,1,
k'akasilanik,1,
k'akatz'ininoq,1,
k'akotz,1,
k'akotzob'ik,1,
k'amb'al,1,
k'amo,2,
k'amo!,1,
k'amob',1,
k'amol,9,
k'arakoj,1,
k'as,1,
k'asam,3,
k'asb'ol,1,
k'aslem,5,
k'aslem';,1,
k'aslem:,1,
k'aslik,1,
k'aslik!,1,
k'aslik:,1,
k'aslik?,1,
k'astaj,2,
k'at,8,
k'atan,1,
k'atanalaj,1,
k'ate,181,
k'atey,1,
k'atoj,1,
k'atonik,1,
k'awex,1,
k'ax,5,
k'axk'ol,8,
k'axkol,1,
k'axtok!,1,
k'axtok',3,
k'axtok'-,2,
k'axtok'?,2,
k'axtok'onel,1,
k'eche',13,
k'echelaj,14,
k'echelaj-,1,
k'echelaj:,1,
k'eje,137,
k'ejeuch'akatajik,1,
k'ejoj,1,
k'ek'e,1,
k'el,1,
k'eletzu,1,
k'exo,1,
k'i,53,
k'i?,1,
k'iche',39,
k'iche'-,1,
k'iche':,1,
k'iche'ib',1,
k'ichelaj,2,
k'im,5,
k'imal,1,
k'is,2,
k'isik,1,
k'isyakataj,1,
k'isyakatajinaq,1,
k'ix,3,
k'ix:,1,
k'ixik,2,
k'ixob',1,
k'k'o,1,
k'o,153,
k'o'ajaw,1,
k'o'akul,2,
k'o'akutek,4,
k'o-;,1,
k'ochajuj,1,
k'oj,1,
k'ojaj,1,
k'ojb'al,1,
k'oje,3,
k'oje'ik,1,
k'ok',1,
k'oka'ib',5,
k'okamel,1,
k'okawib',2,
k'ol,1,
k'olan,1,
k'olb'al,1,
k'ole,1,
k'oleje,4,
k'olem,1,
k'oley,1,
k'olik,10,
k'olik;,1,
k'olok',1,
k'olok'aq,1,
k'olok'ik,1,
k'olol,1,
