doc_id,G,E,H,A,C,F,D,B
44,0.05007140499897966,9.030139088995752e-07,0.011657054190842038,0.0356924630529439,3.1994613661498557e-09,0.27448829772564914,0.011049510772133396,7.643945985522221e-14
45,2.5660707359339876e-21,1.8923396868173548e-07,8.410105884680313e-25,0.4069310283049028,0.012486929431524357,2.2094674408733984e-21,2.2461511653373536e-22,3.925171962850618e-29
46,0.029999045357040323,2.2393109847909537e-22,6.855856824792022e-25,0.40337769941523255,2.2681125980363756e-27,6.024591767317679e-19,1.3190061803689293e-32,2.214971179512631e-15
47,0.16136904743731073,6.354747528441428e-27,0.006224899597921344,0.3000073420739935,4.6597297619887995e-22,3.0759550303110316e-36,3.8926085829086255e-26,1.2908368438832002e-18
48,0.2421714494646328,7.230199018714782e-25,0.07949500706476215,0.11577426098359787,2.6655253280117827e-27,3.490892341775408e-19,7.087066024612909e-13,9.1858847962902e-23
49,0.30570903663066074,7.204439845460141e-16,0.002970774387105499,0.0940540841794577,2.4870137207193507e-25,1.2395446249639751e-20,4.2807588335265974e-19,2.933445685371554e-17
50,0.3537289690579016,1.4765374713194975e-12,3.07343906780337e-26,1.0997857048701745e-15,1.423268520826979e-07,1.3700237909836475e-15,2.359814307898577e-08,4.083475229997895e-08
51,0.2904362499566413,0.06348090011394748,1.0647541813339867e-30,1.2563972995166637e-05,2.0661807438953472e-10,1.2496693478832495e-11,3.257178260386524e-13,0.0028883561509785998
52,0.41145716462857185,7.1974566077642835e-12,1.6727379622666678e-28,1.3498970520587327e-21,4.09105926012228e-18,1.6038516568906185e-22,1.1601460749804327e-23,7.016753986684429e-17
53,0.3227728246384255,1.8121741277710615e-18,7.331542099652361e-16,7.492214394665079e-19,7.23489006323983e-21,8.515501466513183e-13,0.10505039909598575,6.389040843838988e-23
54,0.35966382011276804,6.389938879051428e-27,9.35653070637733e-20,7.190439741454526e-23,0.0002782665274508954,2.320202981541933e-25,6.996212053622484e-18,1.514633267446828e-16
55,0.4078566691245855,3.7766198691626946e-27,3.760253692648787e-21,7.969405755418375e-21,2.5211381929714097e-27,7.761833035588197e-27,4.20888441532329e-14,8.439357796567633e-25
56,0.3826547618912694,2.0542905826121041e-25,1.610037986045294e-14,3.6566223168060834e-07,3.5826812760102963e-12,0.03606128850309293,3.587859599687082e-16,2.213126794613182e-13
57,0.37362472861063567,1.7889835984663592e-31,5.024886001918713e-11,8.017331738209541e-14,7.825641851586054e-30,1.4317787667129869e-08,0.0043281615800083734,2.902774201604543e-20
58,4.821600311148149e-09,1.4379281547888816e-29,9.290442269170853e-15,3.912206268687337e-21,2.305076764613622e-25,0.009943650630623448,1.2773291958443903e-26,0.4109362639630309
59,0.18213566230990752,5.7094886022880116e-24,8.676736718641846e-23,2.6945857353962308e-24,2.303545438417799e-28,0.08769889771035956,4.922273135536569e-29,0.15883643944312473
60,0.31889087035909663,5.337540994952481e-09,7.845424838441013e-14,3.117885668548485e-15,1.216556607330617e-10,0.05806068461579526,2.5370057310070183e-13,0.001358188470484358
61,1.7915804984988877e-15,8.584751604926377e-16,8.875780303056306e-28,1.551398243187478e-37,1.4173782450085008e-18,8.166824880550238e-21,4.549556814116514e-19,0.4435968409013284
62,1.0702248951035584e-16,3.966375252875772e-23,2.775423122009085e-40,7.645083744119181e-38,1.678899710265873e-35,2.6483780081217405e-30,1.4166071415541383e-40,0.3868065636358781
63,5.985021819280463e-15,1.4914064247498782e-25,2.2151125539527363e-13,2.9379214832966798e-33,2.648681074794693e-24,2.0576603490577034e-29,1.936718107830501e-31,0.4706205489285999
64,3.2264241187113804e-06,2.9399064954102647e-18,1.666567724681821e-19,9.700322750548157e-24,1.4550713510499987e-25,1.946225243157745e-20,4.790161914724181e-25,0.44440571552716507
65,5.500471723924606e-08,1.2697183179349058e-21,3.1963967508866095e-14,2.33058877198491e-23,4.736440127055202e-13,5.261158920426059e-16,1.8775148430500328e-21,0.44662356436903927
66,0.2942139460632024,7.715179351276164e-16,0.00625681946981022,5.3523030733530166e-17,0.023613246932648876,1.0547526050626751e-11,2.2982325146712636e-21,0.09119184295799558
67,0.42766412521520236,1.0037562956055988e-19,3.563830706365914e-14,2.4940757582674127e-12,1.083542981906314e-23,5.740508894581883e-21,3.408419556642631e-17,3.803911077782172e-14
68,0.2803824480088629,5.518144196327058e-21,0.1548539131921071,7.581610160036937e-28,3.576786707889766e-31,0.003676790276362813,1.4765945492245654e-05,1.1917384625750061e-12
69,2.092486073274889e-07,5.445037156420254e-26,0.36916724813494073,1.8771541499640618e-28,5.56621604582113e-25,1.1353303407063984e-23,3.318336038608361e-32,3.570416107741725e-28
70,2.342253885399807e-16,6.018871968475366e-29,0.40046267653553025,6.729986702944779e-29,1.3390467269858472e-22,2.310861046647914e-22,5.250175129473114e-36,2.0908823707077326e-09
71,6.0123717613060585e-18,4.0057626462771716e-26,0.40382240563798627,3.965754329994327e-29,4.904708734288682e-33,5.996176524098508e-16,1.3729326534626522e-25,7.910812087938379e-23
72,2.432745222407539e-16,2.6220171250105303e-09,0.3537416387133446,4.9263124356219114e-27,5.355821880752022e-28,6.212857758901669e-21,6.498307788577763e-23,9.336655330350669e-16
