chap_num,F,D,G,A,B,E,C
67,0.0028648074367800366,3.387820959185926e-27,0.021171430079927826,6.779574651514477e-22,4.371227396713652e-28,2.5491371281501545e-13,6.900634547451069e-06
68,1.1291997970264603e-10,1.170220884600493e-33,0.024405266396142083,3.4489614330959806e-33,6.688147573889952e-29,1.286796754287614e-23,3.4523844605608293e-29
69,4.963345004967926e-20,2.2942213280023093e-33,0.025316668730431396,3.8002778082427505e-33,1.9435005490102766e-32,8.852979579784378e-26,7.473843282751239e-29
70,2.563645405192131e-19,8.397525610776362e-23,0.025195827975761264,1.1435404021786404e-30,3.5662693661017916e-32,8.819994007600073e-26,9.554282258162255e-24
71,6.148200618900928e-18,2.477270055113642e-21,0.02175186646766242,3.362613394673497e-29,4.981518065320997e-31,7.879905200347383e-26,2.818491965704509e-22
72,6.148200618900928e-18,2.4772700551136417e-21,0.02175186646766242,3.362613394673497e-29,4.981518065320997e-31,7.879905200347383e-26,2.818491965704509e-22
73,6.148200618900928e-18,2.4772700551136417e-21,0.021751866467662417,3.362613394673497e-29,4.981518065320997e-31,7.879905200347383e-26,2.818491965704509e-22
74,6.148200618900928e-18,2.4772700551136417e-21,0.021751866467662414,3.362613394673497e-29,4.981518065320997e-31,7.879905200347384e-26,2.818491965704509e-22
75,8.783180361717419e-17,9.457857796037481e-15,0.022545550493277687,4.772003257945877e-17,1.9622020856085088e-06,1.0573093780743335e-10,7.047468001069812e-07
76,6.781197004040061e-16,1.2577801915375386e-14,0.023362544699668156,6.348887763254992e-17,2.609490648851759e-06,1.4060931619959125e-10,9.372277188855684e-07
77,3.795203410362176e-15,3.5247406803203835e-37,0.025485987357579554,1.8177367790072723e-19,5.563667491253407e-30,7.03863040407693e-30,9.396359898365467e-29
78,3.795203410362176e-15,3.524740680320384e-37,0.025485987357579554,1.8177367790072723e-19,5.563667491253407e-30,7.03863040407693e-30,9.396359898365468e-29
79,2.7137012426903513e-10,2.1025862725325803e-34,0.025341378673068078,3.7404268517322636e-11,1.3891891361813735e-24,6.04802074694462e-31,2.3105857730143106e-26
80,2.968771421446552e-10,2.2998870953698686e-34,0.025327786211860732,4.092007441831418e-11,1.5197651377753678e-24,5.580874728495196e-35,2.5268855611923104e-26
81,2.968771421446552e-10,2.2998870953698686e-34,0.025327786211860732,4.092007441831418e-11,1.5197651377753676e-24,5.580874728495196e-35,2.5268855611923104e-26
82,7.612235228794816e-12,6.21396228884497e-36,0.015768912448745842,1.049232677494653e-12,3.896833687119457e-26,1.439136588982896e-36,1.35005406246874e-27
83,8.362721743112297e-19,3.2515315073597223e-37,0.015517363139190188,1.0466540517317047e-22,5.295277871592394e-36,8.357360141604903e-39,7.206119164304672e-28
84,8.362721743112297e-19,3.2515315073597223e-37,0.015517363139190188,1.0466540517317047e-22,5.295277871592394e-36,8.357360141604902e-39,7.206119164304672e-28
85,8.362721743112296e-19,3.2515315073597223e-37,0.01551736313919019,1.0466540517317047e-22,5.295277871592395e-36,8.357360141604903e-39,7.206119164304672e-28
86,8.362721743112297e-19,3.2515315073597223e-37,0.01551736313919019,1.0466540517317047e-22,5.295277871592394e-36,8.357360141604903e-39,7.206119164304672e-28
87,8.362721743112297e-19,3.2515315073597223e-37,0.015517363139190188,1.0466540517317047e-22,5.295277871592394e-36,8.357360141604903e-39,7.206119164304672e-28
