para_id,H,I,A,F,B,E,D,G,C
32,1.0619807118052334e-46,1.6828808627802327e-87,4.288361612104283e-90,0.013136331007602248,1.3462008473118666e-64,1.0760418591963465e-58,1.2420157200184517e-75,7.833663777634174e-85,1.1174630155881795e-82
33,1.1096472193643587e-55,2.8218192369307256e-73,1.1630786733405565e-35,0.019811345358680614,4.703894422991363e-39,5.454172815306523e-50,1.040105642851941e-70,2.2388030793572026e-64,2.0619309192588812e-91
34,8.114756077001838e-05,5.9983631089436306e-40,1.8418091138048055e-38,0.002981328471082078,0.0009233047785978004,7.476210843355223e-32,5.643736711350574e-37,0.018406630954606356,3.008921393748307e-34
35,1.1350265831026939e-25,3.566483132096992e-40,1.0263406090011805e-09,8.761889504636113e-41,4.483017692584595e-40,4.1022720447225564e-32,3.4984660345781106e-48,0.01929828348117713,3.3322440454249917e-65
36,2.5471751537476073e-40,2.257087542617472e-62,8.650064988320399e-23,5.914769234431444e-72,1.7188549755771517e-53,3.5811922390402963e-50,7.858457995575551e-65,0.009858631704598131,1.680256889264274e-93
37,7.517481325081878e-29,1.5778145288853404e-57,1.9102978150927933e-50,3.968631518453477e-21,5.848476318702806e-67,3.8123819719992567e-41,7.322274552925943e-64,0.01695032046839614,4.3731838841302454e-52
38,6.591963478630951e-23,3.0067976519771818e-89,2.874906836715286e-92,0.013316408656631069,4.3400447754154e-106,1.452583053673881e-83,1.0393616314125334e-68,4.263862431545982e-40,6.792469554815229e-50
39,5.31297023233003e-28,4.056343365807767e-42,1.7833856243861462e-35,3.9275843509277504e-42,3.2106185874432993e-42,8.375188645608062e-19,1.4865079647961836e-40,0.02254156763794246,7.18934936100014e-40
40,7.525973278427799e-33,5.0940760829904686e-77,0.0003803979511672626,1.2811949226743504e-21,7.159983016287031e-64,5.695543222059469e-38,2.4444580054067118e-27,0.002170860286986918,0.015424743218418137
41,3.262950236821558e-55,6.842991433125347e-89,1.289141970118228e-156,0.015061011341112991,2.272414092006284e-81,3.905574811161389e-58,2.915241799936197e-60,4.710730394628026e-54,1.9029096776059801e-56
42,0.024097584189917236,9.443705082957786e-55,3.481130636756656e-05,4.028922660989362e-21,2.2283757824667446e-50,3.4616569184610353e-14,1.5555367033488753e-44,0.0006252178259442257,1.8942030109775236e-38
43,0.004126624997065968,6.8405169049958354e-43,5.738303608024905e-57,2.316960240747695e-28,3.4920064486964955e-30,2.3477683967903145e-47,6.164109432719145e-34,0.016098493502568742,1.2626548594218307e-22
44,2.840058238461462e-07,1.099377136449131e-56,2.251506821105136e-47,1.1782943580162136e-60,4.637386512606296e-92,3.2769124726447034e-59,5.385716265379361e-50,0.010159155075215897,9.091182274533768e-52
45,0.018489815523876713,4.7236902559249226e-65,1.3483035612351739e-95,3.5952079149050705e-93,4.061446830722711e-55,1.927189890023319e-67,3.099819670898936e-68,1.8148673415443445e-12,2.8548726772376262e-33
46,0.014715682717435324,1.893458421582712e-05,9.390462342932326e-20,5.673486465308876e-23,1.4196486883722021e-46,1.3378780021377917e-31,1.8742784076622744e-37,0.011303654199896884,3.4004237245466678e-46
47,0.012482439120673962,3.0821793254088435e-69,1.8561741764919122e-38,0.0025987179537068483,1.1261191501289145e-75,9.069687393898156e-41,1.9088577670787218e-75,0.004428592975982481,1.4816628864042793e-48
48,6.79487449046903e-20,6.678617297551658e-65,1.9109159863660964e-68,1.0226131921922788e-37,8.763930174314155e-77,2.502392002587937e-25,2.841555245673137e-50,0.015617975627339648,2.6076654358376555e-61
49,0.015373173735362575,1.2303668496831599e-12,0.000752480260108761,0.0008136095053782001,5.328321668700944e-30,0.0016908844041095125,1.8674032933771868e-51,0.0038146658427356994,1.666077024952518e-37
50,3.2829603401647897e-77,3.163342583591307e-92,2.2882426445598694e-11,1.9853229367737878e-08,2.929882107483611e-84,0.009058913084459887,1.6378988804581783e-108,9.079561161382e-75,2.148435845184729e-140
