doc_id,B,F,E,D,A,C
50,8.051053992354305e-51,1.448531914328505e-53,0.0060682594773327015,6.602632862707441e-19,3.1818354737524847e-50,1.3305375828905121e-15
51,1.3244627639887397e-12,1.1279003024025501e-38,1.6768816184005765e-08,2.4846441255656166e-17,4.953657203035102e-32,0.012321116829656613
52,2.1746973171417343e-19,2.6734541346933255e-25,0.0032489931085649556,3.041225707461741e-26,0.005817622427371461,8.565726896518943e-13
53,9.918386302029601e-11,9.881180804100377e-20,0.014995546425202235,3.4826194148812343e-09,1.015212880392456e-12,6.552522226151412e-11
54,2.976902127816481e-30,1.0109429954232755e-36,1.5734729416166077e-22,2.5360960543790268e-18,5.422285493715845e-47,0.006209509200282022
55,2.782117893135853e-14,2.2188671864492298e-23,0.0007750271113794929,6.5167866055802964e-24,8.410717694704399e-37,0.012316838424779803
56,0.014238205871981532,2.2717829561438003e-27,8.383543998337015e-19,2.579848379062631e-19,1.879827042859575e-15,2.2279041545732698e-07
57,0.014226734928004465,1.024672330343064e-31,3.582891021796831e-14,2.508348516371704e-26,7.382327764439789e-24,0.0002136728582633795
58,3.653903708940872e-14,2.501604746707422e-31,3.3574151034523227e-22,0.0008945039145313793,9.439300260687209e-29,0.01253090091661094
59,1.1306752164807005e-20,9.680956916105423e-42,5.616941212068543e-44,1.2499987556821817e-07,1.292934908420603e-32,0.010718442850037384
60,3.636213199938126e-18,7.118193986291885e-26,3.3862237397665835e-30,8.200007251341973e-27,1.812415595524584e-32,0.011241296591921676
61,4.805289495395804e-16,1.8363172072774357e-30,7.514642833558225e-35,0.013097905967592107,2.706571042415618e-35,9.323215236974514e-19
62,0.0002858833662239441,4.72590339780186e-21,5.253696528043979e-40,0.017156860991982385,4.868501245379314e-17,3.6040692649505678e-12
63,0.014211207667079215,1.4980306940786509e-28,1.9701317762969007e-35,0.0013288163529592586,2.087595102656e-28,4.5952754680605645e-24
64,0.01292952469535741,3.0440411986548737e-30,2.021324370243459e-30,0.000848525501917421,1.0155625898450421e-34,3.087836750821338e-17
65,0.00017973757569961574,2.8206620464167072e-24,7.700345869004364e-25,0.016879009433055956,2.2609465761765194e-16,8.723767605000907e-16
66,0.01206194320641196,1.072029288935826e-30,1.3761900739486426e-37,7.460389050905598e-24,8.938954526138259e-35,1.3997970623957978e-30
67,0.010740496752741401,1.0098905926138352e-27,2.701568578441279e-39,6.910158711350945e-35,1.763382171974006e-36,5.135487849697527e-30
68,0.01617168101647408,8.307745742611516e-11,9.892747502831717e-35,1.291010320232742e-14,7.51002495724733e-15,7.2657023312967e-26
69,0.010373626762405705,2.242165734584838e-36,4.781607124538078e-51,3.6292918663270995e-25,1.5379351495382797e-34,9.77616665885119e-15
70,0.012933470404879306,2.1955588042900846e-34,1.3481362949727646e-20,1.0759292529504571e-17,4.0345028261073375e-37,1.0326137057048956e-22
71,0.011312229301400701,3.617171287287347e-16,4.484000583538656e-38,2.1789796976486645e-16,3.022193131201875e-36,1.5111978559921585e-25
72,0.012442711071470287,2.7639240020168707e-30,3.5582824958067036e-35,2.5661449710969518e-26,8.565232071067705e-37,1.2836551411018949e-31
73,0.013390449319735074,1.9638990987041432e-27,2.4998842768180387e-24,1.2262900137936495e-28,5.416309490149436e-31,2.566018158762588e-22
74,0.016280088819202704,1.9808423900799203e-25,2.214634647435005e-27,1.7500650328570902e-14,7.008257561012964e-23,3.068476669662508e-06
75,0.0163351853735739,2.3452896088972095e-26,2.502595554719754e-32,5.068050424387453e-31,8.986349970978912e-26,2.86712449538991e-13
76,0.012248597866285016,2.9872391322854167e-23,0.002147344466251483,0.00035597679077526367,8.533326929201832e-13,2.1399098895463223e-15
77,0.010022114091322016,7.594426393442101e-22,2.224916870063726e-17,4.0100216512206243e-10,1.2789718511714582e-29,6.401113500788779e-26
78,0.015481464338950781,5.9400774215568075e-21,1.0410534487147774e-10,1.9098275760056238e-08,3.897188033742516e-31,3.2706883832737224e-05
79,0.009483984410608359,3.009473685446019e-31,7.475062902697425e-32,3.443022665809281e-17,4.162215450144747e-28,4.1362260665892963e-19
80,0.011329070986830829,2.0667999576484978e-38,2.2590342016024905e-46,1.1198964400129503e-30,7.850179882737588e-37,3.666226818007221e-24
81,0.015333236541086124,1.9127055969253078e-23,3.689241753503351e-29,5.322913297046917e-12,1.9273813420823602e-12,1.9221141505739632e-17
82,1.3924022626103494e-16,4.31409389755601e-37,1.5737996217048599e-28,1.2763975412205038e-33,2.406947151551305e-40,0.011234161923111665
83,0.013212401698695933,4.651978742926316e-27,8.389746860688412e-12,4.250844533234816e-24,4.414236157244832e-24,2.285565796716508e-17
