doc_id,A,B,C,D,E,F,G,H
58,1.3026083308128784,1.337381646721658,1.3424459445908843,1.3264494321004636,1.3060911134858408,1.254974993490744,1.1113147633996292,1.2732011885380372
59,1.2915139935313789,1.346567596859005,1.345945185100541,1.3206472053026015,1.301876111447015,1.1227121098067454,1.0188982304940661,1.295239015516107
60,1.3025475883957216,1.3417744586171827,1.3457504621747851,1.3212997876864776,1.3244880524824398,1.187699173893319,1.0555531901681159,1.288538748291134
61,1.3239016616698767,1.3169053711314274,1.3173426076028616,1.2954344820137162,1.2974980911356453,1.2781361002249818,1.0958149203887713,1.307108916704359
62,1.3385829053617875,1.3564650149934503,1.3597721469767612,1.3299446610611496,1.3363752928001418,1.2223164535733035,1.05992598041266,1.3403578666321632
63,1.3009850434303678,1.322746142770182,1.325396417967834,1.3018825655101545,1.3171914589360583,1.1950244623025812,1.012173096666858,1.257270252350859
64,1.28110746651243,1.3254149030360813,1.3273680795475928,1.2995737511000158,1.3045985793872898,1.1501412267237487,1.0652784721569137,1.2693956841260208
65,1.2902558465036589,1.3373012734045764,1.3434855128116947,1.3258010565481557,1.3186452072797241,1.190887157363816,1.0410586703810394,1.2552896117517098
66,1.2680858926712895,1.305004848888729,1.3286834228072182,1.2993575792931502,1.3088852582731083,1.105362343279617,1.0154800799864725,1.267689932873611
67,1.2379616593796627,1.3037302668848614,1.3173245521579462,1.2989687333773352,1.3059574608600855,1.1788709815511527,1.0742507785717752,1.2749674367817916
68,1.281441403340994,1.332061106780684,1.3188301208076196,1.3070680798616046,1.3100876098339742,1.170066936972442,1.0685230490008972,1.1820419641910147
69,1.3004653984840346,1.3311595421700373,1.3314578391784915,1.316278931596664,1.3083165917284716,1.2760789639215189,1.2571245463158578,1.0236817436675592
70,1.3187425574133016,1.3391037435122906,1.3478558045296032,1.3243532196815693,1.343719387771666,1.2826315843294802,1.271247946150411,1.0549907256804807
71,1.3009259227151841,1.3523450059507098,1.3250640325530993,1.3048124082470325,1.327875968704798,1.2850261271121057,1.2675021978836143,0.9713047588812654
72,1.3058332878975913,1.339743293554452,1.3169170909804218,1.3018823503468968,1.3374475098389618,1.3015725183608358,1.2748938954413347,0.9650007929410499
73,1.292676670702756,1.3268581040614045,1.3182657158015032,1.3265884089744875,1.3249001573303354,1.273504371191815,1.257080279723464,1.0292530788204006
74,1.2806361614982955,1.330149066590869,1.3179188591341229,1.3040167626399328,1.3197165388286634,1.2969435627292665,1.2480866721013242,1.0344697740041957
75,1.3013015166451647,1.353900376952169,1.3475495884018005,1.3462726674826122,1.3548893995825848,1.2877393939954394,1.290749774096173,1.0486444991893706
76,1.2560637906310792,1.3139988225616017,1.3005877477627845,1.3010026045395946,1.3040656480995163,1.2704520227340315,1.2631871599304527,1.0535378499083814
77,1.2454237436579758,1.3374481330368244,1.3273162515543917,1.3226166736710452,1.3336090227265465,1.2230017702390077,1.243835719368571,1.028231433295941
78,1.319380356185269,1.3735915153712874,1.3483399441289403,1.3474749991254076,1.362294461464094,1.32070545136728,1.3193181265980571,1.0133201615710004
79,1.3222044864926887,1.349168225480868,1.325447864360443,1.3281031039930251,1.3459900564701803,1.3266801432954185,1.3180743001475483,0.9963926774230981
