chap_num,E,C,F,A,B,D
68,3.673405026226741e-12,4.196325074738559e-28,0.39468461765428353,2.756065392063208e-27,9.176535584567025e-24,1.476324764968882e-17
69,2.7578945451138046e-19,4.267485886200198e-27,0.40682912863167264,8.273806738910046e-30,4.053114206345626e-33,1.6151997192726405e-16
70,4.4642279835985186e-18,1.4596579015613125e-13,0.4042636888778738,1.0914515580977616e-29,3.170379824920415e-29,1.5383401164136082e-16
71,8.264841385989175e-17,2.8706605397371674e-12,0.3563754801402947,6.020774729957223e-29,6.234323741024965e-28,1.0362752971166933e-17
72,8.264841385989175e-17,2.870660539737168e-12,0.3563754801402947,6.020774729957223e-29,6.234323741024964e-28,1.0362752971166933e-17
73,8.264841385989175e-17,2.870660539737168e-12,0.3563754801402947,6.020774729957223e-29,6.234323741024964e-28,1.0362752971166933e-17
74,2.93331444052661e-10,1.950296091980635e-12,0.3741551813512584,2.3137480526739515e-11,1.2503361534341276e-18,9.505034044837313e-18
75,8.352061200153488e-10,8.551675166209985e-08,0.4090689136829457,6.587964388444674e-11,0.00024620366322091695,2.4553014026025083e-11
76,1.1451730764197732e-11,6.877082545776353e-07,0.3648106602366202,6.794418471284371e-17,0.00197991958550168,1.9745026870309827e-10
77,3.824982701054106e-11,7.030684395559456e-35,0.3289734867145159,3.698714511236021e-22,8.733228040603351e-24,4.331321118395256e-28
78,9.202885240446734e-12,1.2117139645573377e-19,0.41461416319294725,1.8577658744595267e-10,5.510134624308915e-17,1.517097226517102e-16
79,0.018157182632343616,4.105179574656637e-20,0.4295156753657131,1.0119931813381481e-10,1.6284852904627793e-16,5.139791014405425e-17
80,0.0172948723826237,4.61733090537316e-33,0.3865186355784221,3.639030162417503e-11,1.3713529357879798e-16,5.338563198444904e-35
81,8.417375296180008e-05,1.3952576270080498e-36,0.29357808139969266,4.4839242277091284e-17,2.2467403161265773e-42,3.352980958663728e-51
82,8.417375296180008e-05,1.3952576270080498e-36,0.29357808139969266,4.4839242277091284e-17,2.2467403161265773e-42,3.352980958663728e-51
83,5.110549399564532e-05,6.799303519566178e-26,0.2851752822154314,2.7223892621916475e-17,2.625747925775017e-16,3.8059535987993347e-34
84,2.8661334240661312e-12,1.7307318049589186e-25,0.2721891380215732,1.7042755540989313e-22,6.683721992881861e-16,9.687881887852852e-34
85,2.8661334240661312e-12,1.7307318049589186e-25,0.2721891380215732,1.7042755540989313e-22,6.683721992881861e-16,9.687881887852852e-34
86,2.8661334240661312e-12,1.7307318049589186e-25,0.2721891380215732,1.7042755540989313e-22,6.683721992881861e-16,9.687881887852852e-34
87,2.8661334240661312e-12,1.7307318049589186e-25,0.2721891380215732,1.7042755540989313e-22,6.683721992881861e-16,9.687881887852852e-34
