para_id,C,B,A,D
108,0.0034415280602871656,0.02089480237192961,4.5803108038380083e-26,1.7506213143068538e-05
109,2.654237115458591e-32,0.0224078125511532,5.628438399147214e-51,1.0666406281754406e-43
110,4.013482643829902e-28,0.018752001972281024,1.0212692107012349e-45,9.289765739570716e-07
111,0.0041400770376535155,0.02282449734101335,1.0798407197849627e-12,2.1747184036064332e-16
112,0.0016791568330706817,0.0158049440649207,4.1010269920106116e-45,9.218386319719711e-33
113,1.378367815794435e-110,0.009009281632269913,5.333771047065282e-66,4.4551022676576415e-90
114,0.0034369222145323544,0.018511428411971214,6.5212236456185515e-47,7.792062410801467e-16
115,2.261482990199985e-24,0.017372962801633446,5.2489574484880715e-49,2.1131250069576974e-58
116,0.0029298581816407745,0.015876546140750618,7.014636681207975e-65,3.1701712515304676e-30
117,0.011104380003922332,0.010355670484084973,1.20995040651997e-20,3.549691049017281e-28
118,0.005762616550777477,0.016436249438535767,1.060853641975733e-23,8.646666580075877e-25
119,0.0051353078365873215,0.01966342537192311,0.00043041900500265674,4.8207489794748196e-23
120,8.147007583742835e-30,0.018197680305537804,2.2379447320802753e-25,2.3861450965968173e-45
121,1.5182116294382453e-08,0.02197034021432843,5.951320856647754e-61,1.7650564240430328e-07
122,0.0010679211703404604,0.022170596418009086,2.8286697465684852e-39,2.4448220071260756e-20
123,0.004401111876306573,0.021010850000335955,2.170584726822218e-21,7.263047270526149e-06
124,1.4837992815452295e-28,0.015480063655913728,5.428341554654682e-53,2.6546719121962286e-22
125,1.7354345322661444e-69,0.013746139069146433,0.003612162568924198,1.4501269774969746e-38
126,6.294435185184022e-20,0.019932300590582062,1.592939038758833e-35,0.0002610160170411091
127,2.2929243525077527e-18,0.024076348314847295,0.001079098569684647,2.8378626845363477e-05
128,4.37708373778425e-25,0.01791340964024104,0.003166908970940517,0.0005428111015935482
129,7.327162126434237e-06,0.01874324812742703,0.011459442838413903,0.0014570474212037667
130,5.008113612608676e-16,0.006278792901730919,0.021632120925812032,3.83474441646601e-20
131,1.9389781792372626e-37,9.848252909441966e-64,0.018691414502974575,3.0924027105581955e-77
132,9.868911701575484e-106,5.094437947971641e-88,0.014385750058707476,6.915836854456867e-92
133,1.3238543701882946e-116,3.7036451097148386e-59,0.013223667208656276,4.2105193069714175e-113
