term_str,n,gloss
iwachb'il,1,
iwachb'ilan,1,
iwajawal,1,
iwajil,2,
iwal,1,
iwalaxik,1,
iwalk'wal,1,
iwarab'al,1,
iwati't,9,
iwatz,2,
iwe,12,
iwech,8,
iwecha',3,
iweta'm,1,
iwex,1,
iwib',7,
iwila',1,
iwiy,2,
iwochoch,2,
iwonojel,3,
iwuk',6,
iwuk'a'm,2,
iwumal,7,
ix,68,
ixajoj,1,
ixim,6,
ixoq,12,
iya,2,
iyakalib'al,1,
iyom,3,
ja,123,
ja',21,
jab',6,
jab'i'oq,1,
jajach'a',1,
jak'ama',2,
jal,6,
jala,1,
jalajoj,4,
jalan,5,
jalja',1,
jaljal,1,
jalk'atajinaq,1,
jalwachib'al,1,
janik',1,
janik'an,1,
janik'pa,1,
jaqawitz,44,
jarub',4,
jarujpa,1,
je,7,
je',1,
je'ataqa',1,
je'atzaqa',1,
je'itaqa',1,
jeb'ejoj,1,
jeb'el,2,
jeb'elik,2,
jek'u'itaqa,1,
jereb'aq,2,
jiq'onoq,1,
jisab'aj,1,
jix,2,
jixqasaj,1,
jiya',1,
jo',6,
joj,1,
jok,1,
jok'om,2,
jokam,1,
joli,2,
jolom,10,
joloman,1,
jolomax,2,
jom,18,
jowojik,1,
jowol,1,
joxol,3,
ju'uk',1,
juan,2,
jub'elej,1,
jub'iq',1,
juch'ob',4,
jucha,1,
juchalik,2,
juchil,1,
jujun,38,
jujunal,6,
juk'i,2,
juk'isik,1,
jukul,1,
jul,16,
jula,1,
julajuj,1,
jule',1,
julisnab',1,
jumaj,11,
jumetaja,1,
jun,441,
juna'ikaj,1,
juna'ixim,1,
junajpu,5,
junal,1,
junam,9,
junamataj,1,
junamatal,1,
junaq'ab',1,
junelik,1,
junoq,3,
jupa,1,
jupacha,10,
jupaj,1,
jupir,1,
jupujuj,1,
jupulik,1,
juq'atol,1,
juraqan,16,
juruy,1,
jusu,23,
jusu',4,
jusuk',12,
jusuk'u,1,
jutaq,3,
jutaq'ij,10,
jutaqle,2,
jutiq'ab',4,
juwi',3,
juwinaq,7,
juwuq,6,
juyub',76,
juyub'al,3,
k'a,213,
k'a'm,14,
k'a'maxik,2,
k'aja'ulew,1,
k'ajim,1,
k'ajisab'al,3,
k'ajol,20,
k'ajolab',88,
k'ajolal,1,
k'ajolaxel,2,
k'ajolom,17,
k'amb'al,1,
k'amo,3,
k'amob',1,
k'amol,9,
k'anti',3,
k'as,1,
k'asam,3,
k'asb'ol,1,
k'aslem,7,
k'aslik,4,
k'astaj,1,
k'at,5,
k'atan,1,
k'atanalaj,1,
k'atoj,1,
k'atonik,1,
k'awex,1,
k'ax,5,
k'axk'ol,5,
k'axtok',7,
k'axtok'onel,1,
k'eche',13,
k'eche'laj,1,
k'echelaj,11,
k'el,1,
k'i,11,
k'iche',42,
k'iche'eb',1,
k'iche'laj,2,
k'ichelaj,1,
k'ilaj,1,
k'im,4,
k'iskib'ij,1,
k'isoq,1,
k'isyakatajinaq,1,
k'itze',64,
k'ix,4,
k'iy,1,
k'iya,3,
k'iyamolaj,1,
k'iyamul,1,
k'iyataq,1,
k'o,158,
k'o'ajaw,4,
k'o'akul,2,
k'o'akutak,1,
k'o'akutek,3,
k'ochajuj,1,
k'ojaj,1,
k'ojb'al,1,
k'ok',1,
k'oka'ib',3,
k'okawib',3,
k'olan,1,
k'oleje,1,
k'oleje',4,
k'olem,1,
k'oley,1,
k'olik,11,
k'olok'a'q,1,
k'olok'ik,2,
k'olok'oxinaq,1,
k'olom,1,
k'olon,1,
k'onache',2,
