para_num,C,E,D,A,B
99,1.943630445827656e-23,4.290755281092733e-22,0.016827454562021983,7.103997847382929e-25,2.8932050865219755e-24
100,1.943630445827656e-23,4.290755281092733e-22,0.016827454562021983,7.103997847382929e-25,2.8932050865219755e-24
101,1.943630445827656e-23,4.290755281092733e-22,0.016827454562021983,7.1039978473829285e-25,2.893205086521976e-24
102,1.943630445827656e-23,4.290755281092733e-22,0.016827454562021983,7.103997847382929e-25,2.8932050865219755e-24
103,1.943630445827656e-23,4.290755281092733e-22,0.016827454562021983,7.103997847382929e-25,2.8932050865219755e-24
104,1.943630445827656e-23,4.290755281092733e-22,0.016827454562021983,7.103997847382929e-25,2.8932050865219755e-24
105,1.943630445827656e-23,4.290755281092733e-22,0.016827454562021983,7.103997847382929e-25,2.8932050865219755e-24
106,1.943630445827656e-23,4.290755281092733e-22,0.016827454562021983,7.103997847382929e-25,2.8932050865219755e-24
107,1.943630445827656e-23,4.290755281092733e-22,0.016827454562021983,7.103997847382929e-25,2.8932050865219755e-24
108,1.9436304458276556e-23,4.290755281092733e-22,0.016827454562021983,7.103997847382929e-25,2.8932050865219755e-24
