para_id,D,B,C,A
138,1.1099392047062208e-10,4.434649767457763e-21,0.019955562968405175,7.131307702739472e-17
139,8.389205638233965e-09,3.6311123043672354e-32,0.02287164492396378,5.065240175205357e-15
140,1.4981919932394493e-09,7.286180539647717e-46,0.023050945609675712,9.914770023027247e-36
141,1.4981919932394493e-09,7.286180539647717e-46,0.023050945609675712,9.914770023027247e-36
142,1.4981919932394493e-09,7.286180539647717e-46,0.023050945609675712,9.914770023027247e-36
143,1.4981919932394493e-09,7.286180539647717e-46,0.023050945609675712,9.914770023027247e-36
144,5.093852777015631e-10,2.477318724551467e-46,0.016995333179288898,8.153993356037882e-36
145,2.2768548804900752e-22,2.6274350367932705e-51,0.013875775260604782,7.246926588194874e-36
146,2.2768548804900752e-22,2.6274350367932705e-51,0.013875775260604782,7.246926588194874e-36
147,2.2768548804900752e-22,2.6274350367932708e-51,0.013875775260604782,7.246926588194874e-36
148,2.2768548804900752e-22,2.6274350367932705e-51,0.013875775260604782,7.246926588194874e-36
149,2.2768548804900752e-22,2.6274350367932705e-51,0.013875775260604784,7.246926588194874e-36
150,2.2768548804900752e-22,2.6274350367932705e-51,0.013875775260604782,7.246926588194874e-36
151,2.2768548804900752e-22,2.6274350367932705e-51,0.013875775260604784,7.246926588194874e-36
152,2.2768548804900752e-22,2.6274350367932702e-51,0.013875775260604782,7.246926588194874e-36
