ent_str_norm,n,p,i,h,df,dfidf
UCLIABAHA,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
COGIAN,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
DADNOS,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
TAMPOCOOS,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
YOLCUATQUITZAKUAT,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
ZUIVA,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
MEXICO,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
TEPEUOLIMAN,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
GRANAFLICCIONSENTIANENSUSCORAZONES,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
MANIFESTAREIS,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
QUEDAOS,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
LLOCAB,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
CUIDADDEVUESTRACIUDAD,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
VUCAMAG,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
HUNTOH,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
TZOTZIHACHIMALCAN,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
AHPOZOTZIL,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
AHPOXA,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
YELLOS,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
YESTANDOJUNTASLESAMANECIOYLES,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
