w0,w1,n
,vengan,1
,venid,8
,veo,1
,verdaderamente,7
,vestidos,1
,vete,1
,viboras,2
,viejo,1
,vieron,2
,vinieron,3
,voc,1
,vociferando,1
,volved,1
,volveran,1
,volveremos,1
,vosotros,3
,voy,3
,vucubcame,5
,vucubcaquix,3
,vucubpec,1
,vucubpsc,1
,vucubzivan,2
,vuelve,1
,vuestra,4
,vuestras,3
,vuestro,3
,vuestros,6
,xahbaquieh,1
,xic,1
,xiquipat,1
,xiquiripat,1
,xpurpuved,1
,xulu,1
,xuxulimha,1
,y,274
,ya,19
,yac,1
,yaxcanul,1
,yendo,1
,yo,20
,zaccabaha,1
,zaquinimatziis,1
,zaquiya,1
,zipacna,2
,zompopos,1
,zumbaban,1
<s>,,414
<s>,a,18
<s>,abundancia,1
<s>,acabaron,2
<s>,ademas,4
<s>,admirabanse,1
<s>,aguardadnos,1
<s>,ahauahgucumatzr,1
<s>,ahauahpopcamha,1
<s>,ahauahtohil,1
<s>,ahauahtzicvinac,1
<s>,ahauavilix,1
<s>,ahaucotuha,1
<s>,ahaugalel,2
<s>,ahora,30
<s>,al,27
<s>,alegrabanse,1
<s>,alegraronse,3
<s>,algo,2
<s>,alla,4
<s>,alli,25
<s>,amactan,1
<s>,amacuquincat,1
<s>,anda,4
<s>,ante,1
<s>,antes,2
<s>,apariencia,1
<s>,apenas,1
<s>,aquellos,2
<s>,aqui,9
<s>,asi,110
<s>,asimismo,2
<s>,ataronle,1
<s>,aun,4
<s>,aunque,2
<s>,avuix,1
<s>,ayunaban,2
<s>,bajaron,1
<s>,balamacab,1
<s>,balamconache,1
<s>,balamquitze,2
<s>,bastara,1
<s>,batza,1
<s>,belehebqueh,2
<s>,bien,1
<s>,buscaron,1
<s>,cabracan,2
<s>,cada,4
<s>,camalotz,1
<s>,caminaban,1
<s>,canas,1
<s>,casaron,1
<s>,chabitucur,1
<s>,chilzmachi,1
<s>,ciertamente,5
<s>,cocamel,1
<s>,cochahuh,1
<s>,cogian,1
<s>,comahcun,1
<s>,comenzaron,1
<s>,comiendo,1
<s>,como,3
<s>,con,2
<s>,concedeles,1
<s>,confia,1
<s>,consultaron,1
<s>,contaremos,3
<s>,contentos,1
<s>,continuaron,1
<s>,conviene,1
<s>,corrieron,2
<s>,cotuha,3
<s>,coyobacoh,1
<s>,cuando,21
<s>,cuatro,1
<s>,cuha,1
<s>,cuidad,1
<s>,cumplian,1
<s>,curadme,2
<s>,dadme,1
<s>,dadnos,1
