parte,capit,ent_str_norm,n
2,7,YLOSMENSAJEROS,1
2,7,YOYENDOLOS,1
2,7,YYENDOSEALINSTANTE,1
2,7,ZAQUICAZ,3
2,8,AHALCANA,3
2,8,AHALCANASALUD,1
2,8,AHALPUH,2
2,8,AHALPUHSALUD,1
2,8,AYAY,1
2,8,CASAOSCURA,1
2,8,CHAMIABAC,3
2,8,CHAMIAHOLOM,2
2,8,CHAMIAHOLOMSALUD,1
2,8,CUCHUMAQUIC,2
2,8,CUCHUMAQUICSALUD,1
2,8,ESENOESSENOR,1
2,8,HUNAHPU,3
2,8,HUNCAME,2
2,8,HUNCAMESALUD,1
2,8,IXBALANQUE,2
2,8,MOLAY,1
2,8,PATAN,2
2,8,PATANSALUD,1
2,8,PICALOS,1
2,8,PICO,2
2,8,QUEES,1
2,8,QUICRIXCAC,2
2,8,QUICXIC,1
2,8,QUICXICSALUD,1
2,8,QUIERESALUD,1
2,8,SALUDADALSENOR,1
2,8,SENORES,1
2,8,SENTAOS,1
2,8,TODOSACABARONDEDECIRSUNOMBRECUANDOLOSPICOUNPELODELAPIERNADE,1
2,8,VUCUBCAME,2
2,8,VUCUBCAMESALUD,1
2,8,XAN,1
2,8,XIBALBA,4
2,8,XIQUIPATSALUD,1
2,8,XIQUIRIPAT,2
2,8,YALLITAMPOCOFUERONVENCIDOS,1
2,8,YENSENANDOTODOSLACARA,1
2,9,ASIDIJERONLOSDEXIBALBA,1
2,9,ASIDIJERONLOSMUCHACHOS,1
2,9,ASIPASARONLANOCHEENLACASADELASNAVAJAS,1
2,9,CARINIMAC,1
2,9,CASAOSCURA,1
2,9,CONTADNOS,1
2,9,CUATROJICARASDEFLORES,1
2,9,DEMADRUGADAJUGAREMOSDENUEVOALAPELOTA,1
2,9,DOSERANLOSGUARDIANESDELJARDINDEHUNCAME,1
2,9,ESOERAPRECISAMENTELOQUEQUERIANQUELESPASARAALOSMUCHACHOS,1
2,9,HORMIGAS,1
2,9,HUNAHPU,5
2,9,HUNCAME,4
2,9,IXBALANQUE,3
2,9,LES,1
2,9,LOSDE,1
2,9,LUEG,1
2,9,NOOSMARCHEIS,1
2,9,NOSENTIMOSNADASENOR,1
