parte,capit,ord,ent_str,ent_str_norm
1,7,21,Y llenos de alegría dijeron:—Ahora,YLLENOSDEALEGRIADIJERONAHORA
1,7,22,Pasados estos tres días,PASADOSESTOSTRESDIAS
1,7,23,Luego dijeron : — Mañana veremos y pasado mañana,LUEGODIJERONMANANAVEREMOSYPASADOMANANA
1,7,24,hieda,HIEDA
1,7,25,Zipacná,ZIPACNA
1,7,26,Y luego,YLUEGO
1,7,27,Unas traían en la boca los cabellos,UNASTRAIANENLABOCALOSCABELLOS
1,7,28,Zipacná,ZIPACNA
1,7,30,Zipacná,ZIPACNA
1,7,31,Y estando ebrios los cuatrocientos muchachos,YESTANDOEBRIOSLOSCUATROCIENTOSMUCHACHOS
1,7,32,Zipacná,ZIPACNA
1,7,33,Ni siquiera uno,NISIQUIERAUNO
1,7,34,Zipacná,ZIPACNA
1,7,35,Vucub-Caquix,VUCUBCAQUIX
1,7,36,Motz,MOTZ
1,8,0,Zipacná,ZIPACNA
1,8,1,Hunahpú,HUNAHPU
1,8,2,Ixbalanqué,IXBALANQUE
1,8,4,Zipacná,ZIPACNA
1,8,5,Hunahpú,HUNAHPU
1,8,6,Ixbalanqué,IXBALANQUE
1,8,7,El corazón de los dos jóvenes estaba lleno de rencor porque los cuatrocientos muchachos,ELCORAZONDELOSDOSJOVENESESTABALLENODERENCORPORQUELOSCUATROCIENTOSMUCHACHOS
1,8,8,Zipacná,ZIPACNA
1,8,9,Hunahpú,HUNAHPU
1,8,10,Ixbalanqué,IXBALANQUE
1,8,11,Meauán,MEAUAN
1,8,12,Zipacná,ZIPACNA
1,8,13,Zipacná,ZIPACNA
1,8,14,Zipacná,ZIPACNA
1,8,15,Zipacná,ZIPACNA
1,8,16,Pescado,PESCADO
1,8,17,antier,ANTIER
1,8,18,Zipacná,ZIPACNA
1,8,19,Hunahpú,HUNAHPU
1,8,20,Ixbalanqué,IXBALANQUE
1,8,21,Allá en el fondo del barranco,ALLAENELFONDODELBARRANCO
1,8,22,Por nada iríamos a cogerlo,PORNADAIRIAMOSACOGERLO
1,8,23,Hunahpú,HUNAHPU
1,8,24,Ixbalanqué,IXBALANQUE
1,8,25,Zipacná,ZIPACNA
1,8,26,No queremos .,NOQUEREMOS
1,8,28,Sigue por la vega del río,SIGUEPORLAVEGADELRIO
1,8,29,Sólo tienes,SOLOTIENES
1,8,30,Hunahpú,HUNAHPU
1,8,31,Ixbalanqué,IXBALANQUE
1,8,32,Venid,VENID
1,8,33,Zipacná,ZIPACNA
1,8,34,Y éstos le dijeron : — Pero ¿ de veras,YESTOSLEDIJERONPERODEVERAS
1,8,35,Zipacná,ZIPACNA
1,8,36,Zipacná,ZIPACNA
1,8,37,Quiso,QUISO
1,8,38,Salióse,SALIOSE
1,8,39,Nunca más volvió Zipacná,NUNCAMASVOLVIOZIPACNA
