term_str,token_str,stop,vnorm
intentaremos,intentaremos,False,25.573977
suelo,suelo,False,35.00778
cueros,cueros,False,32.22942
pereció,pereció,False,23.998964
de,De,True,83.315285
pescados,pescados,False,29.261593
juntándose,juntándose,False,18.663643
ella,ella,True,36.71984
beberemos,beberemos,False,24.46034
discurso,discurso,False,27.191355
bajarlos,bajarlos,False,25.716705
presentó,presentó,False,29.083021
nihaib,Nihaib,False,0.0
jay,jAy,False,0.0
entrañas,entrañas,False,22.808409
cerro,cerro,False,33.720284
llamaran,llamaran,False,22.384527
habla,Habla,True,21.984806
oculta,oculta,False,25.354574
andrajosos,andrajosos,False,15.670425
arenas,Arenas,False,23.271559
llevarte,llevarte,False,26.251331
enterneció,enterneció,False,15.515592
descansaron,descansaron,False,21.285172
calentad,calentad,False,0.0
acercó,acercó,False,25.26069
dejándose,dejándose,False,21.620852
granizo,granizo,False,23.191925
morían,morían,False,30.748968
las,las,True,61.376503
sed,sed,False,46.83965
nutrir,nutrir,False,23.344053
quedaba,Quedaba,False,21.765125
duda,duda,False,41.186466
enterraron,enterraron,False,26.136114
para,Para,True,41.19997
arrebatándolos,arrebatándolos,False,0.0
pensadores,pensadores,False,25.144043
aspas,aspas,False,24.881275
diez,diez,True,35.245018
primeros,primeros,True,26.97697
tucur,Tucur,False,0.0
llegara,llegara,False,24.269648
sabrosos,sabrosos,False,22.950708
bosque,bosque,False,30.110672
previamente,Previamente,False,19.264095
se,se,True,93.79436
varias,varias,True,35.31039
formador,formador,False,25.535246
cambiado,cambiado,False,26.691917
enfureció,enfureció,False,21.051874
dobló,dobló,False,22.97413
habiendo,habiendo,False,26.347483
al,al,True,81.90179
buen,buen,True,43.140858
orgía,orgía,False,25.274065
siempre,siempre,True,24.698715
hubiere,hubiere,False,35.71974
llevo,Llevo,False,35.269825
cazadores,cazadores,False,25.195774
mataron,mataron,False,33.282825
lleguemos,lleguemos,False,25.665037
montones,montones,False,20.941246
luciérnagas,luciérnagas,False,14.403327
apagó,apagó,False,26.627073
quisimos,quisimos,False,22.333597
haberse,haberse,False,37.794827
piojo,piojo,False,20.315683
obligarlos,obligarlos,False,23.843344
alhajas,alhajas,False,21.73693
y,Y,True,64.74783
ruina,ruina,False,29.272387
contar,contar,False,34.8053
pequeño,pequeño,False,22.783281
sabían,Sabían,False,23.992937
acabaste,acabaste,False,20.13098
inferior,inferior,False,24.950632
llegue,llegue,False,27.097313
partir,partir,True,30.75825
sacrificaban,sacrificaban,False,24.17449
serpiente,serpiente,False,22.418554
espinas,espinas,False,27.695768
tocó,tocó,False,37.4773
honrados,honrados,False,25.7215
hablando,hablando,False,26.211792
emparentaron,emparentaron,False,20.397655
grande,Grande,True,25.62827
desnudado,desnudado,False,19.470963
condición,condición,False,29.592943
yolcuat,Yolcuat,False,0.0
graznaban,graznaban,False,0.0
diluvio,diluvio,False,21.123926
monos,monos,False,27.292301
santa,Santa,False,42.432766
despedida,despedida,False,17.824741
tomarlas,tomarlas,False,27.165838
vinieron,Vinieron,False,26.421892
arrancadas,arrancadas,False,21.554602
única,única,False,29.914394
estruendo,estruendo,False,22.139198
andamos,Andamos,False,24.496916
maltrataron,maltrataron,False,22.529549
hablaba,hablaba,False,25.55332
catadura,catadura,False,16.867666
lleno,lleno,False,33.023643
camalotz,Camalotz,False,0.0
rodeados,rodeados,False,29.499384
prodigaron,prodigaron,False,22.355732
