"Imagen principal","Tipo","Nombre","Nombre analítico","Ximenez spelling","Analytical name",""
"","persona","Istayul (gen. 8)","ISTAYUL_KQOCHO","xtayub","ISTAYUL_KQOCHO","edit"
"","persona","Tepepul  (gen. 8)","TEPEPUL_KQOCHO","Tepepul","TEPEPUL_KQOCHO","edit"
"","persona","Istayul (gen. 6)","ISTAYUL_KQSEIS","ztayul","ISTAYUL_KQSEIS","edit"
"","persona","K'otuja (gen. 5)","K'OTUJA_KQCINCO","cotuha","K'OTUJA_KQCINCO","edit"
"","persona","Istayul (gen. 4)","ISTAYUL_KQCUATRO","ahau ztayul, aha ztayul, ztayub","ISTAYUL_KQCUATRO","edit"
"","persona","K'oqawib (gen. 2)","K'OQAWIB_KQDOS","qo cavib, Cocauib","K'OQAWIB_KQDOS","edit"
"","grupo de deidades","Usamajel Xib'alb'a","USAMAJEL_XIB'ALB'A","vzamahel xibalba","USAMAJEL_XIB'ALB'A","edit"
"","linaje","Ch'abi Q'aq'","CH'ABI_Q'AQ'","cabicac","CH'ABI_Q'AQ'","edit"
"","topónimo","Chitemaj","CHITEMAJ"," chi temah","CHITEMAJ","edit"
"","linaje","Nija'ib'","NIJA'IB'","nihaibab","NIJA'IB'","edit"
"","grupo de deidades","Jun Kame' Wuqub' Kame'","JUN_KAME'_WUQUB'_KAME'","hun came, vvqub came","JUN_KAME'_WUQUB'_KAME'","edit"
"","grupo de deidades","Ixtaj Ixpuch'","IXTAJ_IXPUCH'","xtah, xpuch","IXTAJ_IXPUCH'","edit"
"","grupo de deidades","Chajal echa'","CHAJAL_ECHA'","chahal echa","CHAJAL_ECHA'","edit"
"","canto","Junajpu K'oy","JUNAJPU_K'OY","hun ahpu coy","JUNAJPU_K'OY","edit"
"","topónimo","Ch'ab'iq'aq'","CH'ABI_Q'AQ'"," cabicac","CH'ABI_Q'AQ'","edit"
"","topónimo","Xajb'akyej","XAJB'AKYEJ"," xahbaquieh","XAJB'AKYEJ","edit"
"","topónimo","Tz'oloj Che'","TZ'OLOJ_CHE'","tzolohche","TZ'OLOJ_CHE'","edit"
"","lugar","Palo","PALO","palo","PALO","edit"
"","linaje","Lamakib'","LAMAKIB'"," lamaquib","LAMAKIB'","edit"
"","persona","Donadiu","DONADIU","Donadiu","DONADIU","edit"
"","grupo de deidades","Xa q'ana jal","XA_Q'ANA_JAL","xaꜫana hal zaquihal vtiohil xa echa racan veab vinac","XA_Q'ANA_JAL","edit"
"","topónimo","Q'umarkaj","Q'UMARKAJ","cumarca ah","Q'UMARKAJ","edit"
"","objeto","Ka'","KA'","ꜫaa","KA'","edit"
"","objeto","B'aq","B'AQ","bac","B'AQ","edit"
