term_str,n,p,i,h,df,idf,dh
sea,20,0.0005591277606933184,10.804534402995225,0.00604111512608064,16,1.9068905956085185,3.9219280948873623
seal,12,0.00033547665641599103,11.541499997161432,0.0038719038290728875,7,3.0995356735509145,2.6887218755408666
sealaban,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,1,5.906890595608519,0.0
sealado,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,2,4.906890595608519,1.0
sealaron,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,2,4.906890595608519,1.0
seamos,4,0.00011182555213866368,13.126462497882589,0.0014678739164531828,2,4.906890595608519,0.8112781244591328
sean,7,0.00019569471624266145,12.319107575824983,0.002410784261413891,7,3.0995356735509145,2.807354922057604
seas,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.906890595608519,0.0
sec,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,1,5.906890595608519,0.0
seca,3,8.386916410399776e-05,13.541499997161432,0.0011357142854762174,3,4.321928094887363,1.5849625007211559
secan,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.906890595608519,0.0
secaron,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.906890595608519,0.0
secarse,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.906890595608519,0.0
secas,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.906890595608519,0.0
secos,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.906890595608519,0.0
secreto,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,2,4.906890595608519,1.0
sed,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,1,5.906890595608519,0.0
segn,10,0.0002795638803466592,11.804534402995225,0.0033001214433869795,8,2.9068905956085187,2.9219280948873623
seguan,4,0.00011182555213866368,13.126462497882589,0.0014678739164531828,4,3.9068905956085187,2.0
seguid,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.906890595608519,0.0
seguida,105,0.0029354207436399216,8.412216980216465,0.02469339622372739,46,0.3833286395515057,5.350831084370204
seguidos,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.906890595608519,0.0
seguir,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.906890595608519,0.0
segunda,5,0.0001397819401733296,12.804534402995225,0.0017898426618668192,5,3.584962500721156,2.321928094887362
segundo,17,0.00047525859658932064,11.038999656632248,0.005246379484561034,13,2.206450877467426,3.616874605956222
seguramente,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.906890595608519,0.0
seguridad,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,2,4.906890595608519,1.0
seguro,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,2,4.906890595608519,1.0
seis,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.906890595608519,0.0
sembr,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.906890595608519,0.0
sembradas,3,8.386916410399776e-05,13.541499997161432,0.0011357142854762174,3,4.321928094887363,1.5849625007211559
sembrado,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,2,4.906890595608519,1.0
sembrar,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,2,4.906890595608519,1.0
sembraremos,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,1,5.906890595608519,0.0
sembraron,3,8.386916410399776e-05,13.541499997161432,0.0011357142854762174,3,4.321928094887363,1.5849625007211559
semejante,4,0.00011182555213866368,13.126462497882589,0.0014678739164531828,4,3.9068905956085187,2.0
semejantes,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,2,4.906890595608519,1.0
sencia,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.906890595608519,0.0
senta,3,8.386916410399776e-05,13.541499997161432,0.0011357142854762174,3,4.321928094887363,1.5849625007211559
sentado,7,0.00019569471624266145,12.319107575824983,0.002410784261413891,2,4.906890595608519,0.5916727785823275
sentados,12,0.00033547665641599103,11.541499997161432,0.0038719038290728875,3,4.321928094887363,0.8166890883150209
sentadosay,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,1,5.906890595608519,0.0
sentan,13,0.000363433044450657,11.426022779741496,0.00415259424480401,11,2.447458976971221,3.3927474104487847
sentaos,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.906890595608519,0.0
sentaran,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.906890595608519,0.0
sentaron,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.906890595608519,0.0
sentaros,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.906890595608519,0.0
sentencia,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.906890595608519,0.0
sentido,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.906890595608519,0.0
sentimos,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,2,4.906890595608519,1.0
sentir,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,2,4.906890595608519,1.0
seor,66,0.0018451216102879507,9.082068378524134,0.016757520631327728,25,1.2630344058337937,4.217991187823216
