folio|side|para_num|lb|lb_str|lb_str_plain
1|2|4|27|"de el zielo</rs>, este es su nombre <choice><abbr>q’</abbr><expan instant=""false"">que</expan></choice>se le dize"|de el zielo, este es su nombre q’quese le dize
1|2|4|28|a aquel ídolo.|a aquel ídolo.
1|2|5|29|<hi>Y</hi> entonzes vino aquí su palabra, víno|Y entonzes vino aquí su palabra, víno
1|2|5|30|"con los <choice><abbr>S<hi rend=""superscript"">es.</hi></abbr><expan instant=""false"">Señores</expan></choice><rs ana=""TEPEW_Q'UKUMATZ"">tepeu, gucumaꜩ</rs> aquí en obs<pc> –</pc>"|con los Ses.Señorestepeu, gucumatz aquí en obs–
1|2|5|31|"curidad, en la noche, y abló con <rs ana=""TEPEW_Q'UKUMATZ"">tepeu"|curidad, en la noche, y abló con tepeu
1|2|5|32|"gucumaꜩ</rs>. y dixeron, <choice><abbr>q<hi rend=""superscript"">o</hi></abbr><expan instant=""false"">quando</expan></choice> consultaron, y"|gucumatz. y dixeron, qoquando consultaron, y
1|2|5|33|"<choice><abbr>q<hi rend=""superscript"">o</hi></abbr><expan instant=""false"">quando</expan></choice> pensaron, se juntaron, hízíeron con<pc> –</pc>"|qoquando pensaron, se juntaron, hízíeron con–
1|2|5|34|"sejo, <choice><abbr>q<hi rend=""superscript"">o</hi></abbr><expan instant=""false"">quando</expan></choice> se declararon, y pensaron vnos"|sejo, qoquando se declararon, y pensaron vnos
1|2|5|35|a otros. y en entonzes parezíeron las críatu<pc> –</pc>|a otros. y en entonzes parezíeron las críatu–
1|2|5|36|"ras, <choice><abbr>q<hi rend=""superscript"">o</hi></abbr><expan instant=""false"">quando</expan></choice> consultaron la hechura, y crea"|ras, qoquando consultaron la hechura, y crea
1|2|5|37|zíon, de los palos, mecates, y la hechura|zíon, de los palos, mecates, y la hechura
1|2|5|38|"de la vida, y de la creazíon, en la obscu<pc resp=""editor""> –</pc>"|de la vida, y de la creazíon, en la obscu–
1|2|5|39|"ridad, y tinieblas, por <rs ana=""UK'U'X_KAJ"">el corazon de el"|ridad, y tinieblas, por el corazon de el
1|2|5|40|"zielo,</rs> <choice><abbr>q'</abbr><expan instant=""false"">que</expan></choice> se llama <rs ana=""JUN_RAQAN"">huracan</rs>. (esto es de"|zielo, q'que se llama huracan. (esto es de
1|2|5|41|un píe nombre propío). el primero se|un píe nombre propío). el primero se
1|2|5|42|"llama: <rs ana=""KAQUILJA_JUN_RAQAN"">caculha huracan</rs>. (nombre pro"|llama: caculha huracan. (nombre pro
1|2|5|43|"prio <choice><abbr>q'</abbr><expan instant=""false"">que</expan></choice>dize: rayo de vna píerna.) el"|prio q'quedize: rayo de vna píerna.) el
1|2|5|44|"segundo: <rs ana=""CH'IPI_KAQULJA"">chípa caculha</rs>. (nombre pro<pc> –</pc>"|segundo: chípa caculha. (nombre pro–
1|2|5|45|"prio <choice><abbr>q'</abbr><expan instant=""false"">que</expan></choice>dize el mas pequeño de los rayos)"|prio q'quedize el mas pequeño de los rayos)
2|1|5|1|"y el tercero: <rs ana=""RAXA_KAQULJA"">raxa caculha</rs>. (nombre proprío"|y el tercero: raxa caculha. (nombre proprío
2|1|5|2|"<choice><abbr>q’</abbr><expan instant=""false"">que</expan></choice>dize: verde rayo) con <choice><abbr>q’</abbr><expan instant=""false"">que</expan></choice>suertes aquel su <rs ana=""UK'U'X_KAJ"">co<pc> –</pc>"|q’quedize: verde rayo) con q’quesuertes aquel su co–
2|1|5|3|"razon de el cielo</rs>, <choice><abbr>q’</abbr><expan instant=""false"">que</expan></choice>vinieron con <rs ana=""TEPEW_Q'UKUMATZ"">tepeu, qu<pc> –</pc>"|razon de el cielo, q’quevinieron con tepeu, qu–
2|1|5|4|cumaꜩ</rs>, entonzes se consulto la vida, y la cre<pc> –</pc>|cumatz, entonzes se consulto la vida, y la cre–
2|1|5|5|"azion; pues como <rs ana=""K'OOL"">se sembrara</rs>, y aclarar, quí<pc> –</pc>"|azion; pues como se sembrara, y aclarar, quí–
2|1|5|6|en sera hecho alimentador, y sustentador, dad|en sera hecho alimentador, y sustentador, dad
2|1|5|7|vuestro voto. esta agua salga, desembaraze|vuestro voto. esta agua salga, desembaraze
2|1|5|8|"para <choice><abbr>q’</abbr><expan instant=""false"">que</expan></choice>se produzca la tierra, y sea su juntu<pc> –</pc>"|para q’quese produzca la tierra, y sea su juntu–
2|1|5|9|ra, y así se siembre, y aclare el zielo, y la|ra, y así se siembre, y aclare el zielo, y la
2|1|5|10|tierra, y así no les sera embarazo a las cría<pc> –</pc>|tierra, y así no les sera embarazo a las cría–
2|1|5|11|"turas, y nuestras hechuras, <choice><abbr>q<hi rend=""superscript"">o</hi></abbr><expan instant=""false"">quando</expan></choice> fueren cria<pc> –</pc>"|turas, y nuestras hechuras, qoquando fueren cria–
2|1|5|12|dos los hombres críaturas, y formaduras, y|dos los hombres críaturas, y formaduras, y
2|1|5|13|"dixeron <choice><abbr>q<hi rend=""superscript"">o</hi></abbr><expan instant=""false"">quando</expan></choice> se formo la tierra por ellos, de"|dixeron qoquando se formo la tierra por ellos, de
2|1|5|14|solo dezirlo se hizo la tierra, y estuvo su ser|solo dezirlo se hizo la tierra, y estuvo su ser
2|1|5|15|formada. tierra dixeron, y luego al instan<pc> –</pc>|formada. tierra dixeron, y luego al instan–
2|1|5|16|te fue hecha. así como la neblina, y como|te fue hecha. así como la neblina, y como
2|1|5|17|"nube su ser formada, en retazos <choice><abbr>q<hi rend=""superscript"">o</hi></abbr><expan instant=""false"">quando</expan></choice> se puso"|nube su ser formada, en retazos qoquando se puso
2|1|5|18|"como <rs ana=""TAP"">cangrejo</rs> sobre el agua el zerro fue<pc> –</pc>"|como cangrejo sobre el agua el zerro fue–
2|1|5|19|hecho. solo por milagro, y maravilla fue|hecho. solo por milagro, y maravilla fue
2|1|5|20|hecho, y en vninstante juntamente se|hecho, y en vninstante juntamente se
2|1|5|21|formo su produzir zipreses, y pínabetes en|formo su produzir zipreses, y pínabetes en
2|1|5|22|"su haz. y así se alegro <rs ana=""Q'UKUMATZ"">gucumaꜩ</rs>, esta bien"|su haz. y así se alegro gucumatz, esta bien
2|1|5|23|"tu venida <rs ana=""UK'U'X_KAJ"">corazon de el zielo</rs>, tu <rs ana=""JUN_RAQAN"">huracan</rs>,"|tu venida corazon de el zielo, tu huracan,
2|1|5|24|"y tu <rs ana=""CH'IPI_KAQULJA"">chípi caculha</rs>, <rs ana=""RAXA_KAQULJA"">raxa caculha</rs>, se per<pc> –</pc>"|y tu chípi caculha, raxa caculha, se per–
2|1|5|25|izionara, nuestra obra, y criaturas dixe<pc> –</pc>|izionara, nuestra obra, y criaturas dixe–
2|1|5|26|ron. prímeramente se crío la tierra, los<pc> –</pc>|ron. prímeramente se crío la tierra, los–
2|1|5|27|montes, y llanos. se dividieron los camínos|montes, y llanos. se dividieron los camínos
2|1|5|28|de el agua, y anduvieron muchos arroyos|de el agua, y anduvieron muchos arroyos
2|1|5|29|entre los zeros y en señaladas partes se|entre los zeros y en señaladas partes se
2|1|5|30|paro, y detuvo el agua, y entonzes se|paro, y detuvo el agua, y entonzes se
2|1|5|31|mostraron los grandes zerros. y así su ser|mostraron los grandes zerros. y así su ser
2|1|5|32|"formada la tierra, <choice><abbr>q<hi rend=""superscript"">o</hi></abbr><expan instant=""false"">quando</expan></choice> se crío por aquellos"|formada la tierra, qoquando se crío por aquellos
2|1|5|33|"<choice><abbr>q’</abbr><expan instant=""false"">que</expan></choice>se llaman <rs ana=""UK'U'X_KAJ"">el corazon de el zielo</rs>, y <rs ana=""UK'U'X_ULEW"">el cora"|q’quese llaman el corazon de el zielo, y el cora
2|1|5|34|"zon de la tierra</rs>, y esto es lo primero <choice><abbr><expan instant=""false"">q’</expan></abbr></choice> dís"|zon de la tierra, y esto es lo primero q’ dís
2|1|5|35|currieron estando el zielo y la tierra den|currieron estando el zielo y la tierra den
2|1|5|36|tro de el agua, y así su ser discurrído a|tro de el agua, y así su ser discurrído a
2|1|5|37|"quello <choice><abbr>q’</abbr><expan instant=""false"">que</expan></choice> discurrieron, <choice><abbr>q<hi rend=""superscript"">o</hi></abbr><expan instant=""false"">quando</expan></choice> pensaron suser"|quello q’que discurrieron, qoquando pensaron suser
2|1|5|38|perfizionado, y suser hecho por ellos.|perfizionado, y suser hecho por ellos.
2|2|6|1|"<hi rend=""large"">Y</hi> despues discurrieron los animales de el mon<corr><pc> –</pc></corr>"|Y despues discurrieron los animales de el mon–
2|2|6|2|te guardianes suyos de los montes todos, sus crí<pc> –</pc>|te guardianes suyos de los montes todos, sus crí–
