ana_id,n_annotated,surface_form,form_length
JUN_TOJ,1,hun toh,2
JUN_WINAQ,6,hun vinac demonium loquens cis hun vinac,7
JUN_WINAQ,6,inzamahel,1
JUN_WINAQ,6,vzamahel xibal ba,3
JUN_WINAQ,6,xi balba,2
JUN_WINAQ,6,xibalba,1
JURAQAN_TUKUR,2,hu racan tucur,3
JURAQAN_TUKUR,2,huracan tucur,2
K'AJB'A_JA,1,cahba ha,2
K'AJOLOM,19,cahau,1
K'AJOLOM,19,icahau,1
K'AJOLOM,19,qa holom,2
K'AJOLOM,19,qaho lom,2
K'AJOLOM,19,qahol,1
K'AJOLOM,19,qaholom,1
K'AJOLOM,19,vcahau,1
K'ANTI',4,can ti,2
K'ANTI',4,canti,1
K'AWEX,1,cauex,1
K'AYALA',2,cayala,1
K'EL,1,quel,1
K'ELETZU,1,quele tzu,2
K'ENECH_AJAW,1,quenech ahau,2
K'IKAB,1,quieab,1
K'IKAB'_KQDIEZ,1,quicab,1
K'IKAB'_KQSIETE,12,eq'aq' quicab,2
K'IKAB'_KQSIETE,12,q uicab,2
K'IKAB'_KQSIETE,12,qui cab,2
K'IKAB'_KQSIETE,12,quicab,1
K'IM,1,quim,1
K'O'AJAW,1,qoahau,1
K'O'AJAW_AKDOS,3,cahau,1
K'O'AJAW_AKDOS,3,coaha u,2
K'O'AJAW_AKDOS,3,coahau,1
K'O'AKUL,1,qoacul,1
K'O'AKUL_NJDOS,1,c oacul,2
K'O'AKUTEK,1,qoacutec,1
K'O'AKUTEK_NJDOS,3,coacutac,1
K'O'AKUTEK_NJDOS,3,coacutec,1
K'OCHAJUJ_NJTRES,1,c ochahuh,2
K'OJAJ,1,cohah,1
K'OKA'IB,1,qocaib,1
K'OKA'IB_KQDOS,4,caib,1
K'OKA'IB_KQDOS,4,co,1
K'OKA'IB_KQDOS,4,co caib,2
K'OKAMEL_AKSIETE,1,cocamel,1
K'OKOSOM_AKCUATRO,1,cocozom,1
K'OOL,3,cool,1
K'OOL,3,quecool,1
K'OQAWIB_KQDOS,3,cocauib,1
K'OQAWIB_KQDOS,3,qo cavib,2
K'OQAWIB_KQDOS,3,qocavib chic,2
K'OTAL,6,cot,1
K'OTAL,6,cotal,1
K'OTK'OWACH,1,xe cotcovach,2
K'OTUJA_KQCINCO,6,cotuh,1
K'OTUJA_KQCINCO,6,cotuha,1
K'OTUJA_KQCUATRO,8,ahau,1
K'OTUJA_KQCUATRO,8,ahau cotuha,2
K'OTUJA_KQCUATRO,8,ahau cotuhu,2
K'OTUJA_KQCUATRO,8,c otuha,2
K'OTUJA_KQCUATRO,8,co tuha,2
K'OTUJA_KQCUATRO,8,cotuha,1
K'OTUJA_KQCUATRO,8,cu tuha,2
K'OTUJA_NJCINCO,1,c otuha,2
K'OTUJA_NJOCHO,1,c otuha chivi,3
K'OTZ'IB'AJA_NJTRES,1,cotzibaha,1
K'OY,5,coy,1
K'OY,5,qoy,1
K'OYABAKOJ_AKOCHO,1,coyabacoh,1
K'ULB'A,1,culba,1
K'ULKU_SIWAN,1,cul cu ziuan,3
K'US_B'US,1,quz buz,2
KA',2,kaa,1
KA',2,q'aa,1
KA'IB'_K'AJOLAB',97,ahuchan,1
KA'IB'_K'AJOLAB',97,at qahol,2
KA'IB'_K'AJOLAB',97,ca chac,2
KA'IB'_K'AJOLAB',97,ca ib qaholab,3
KA'IB'_K'AJOLAB',97,cach meba,2
KA'IB'_K'AJOLAB',97,caholab,1
KA'IB'_K'AJOLAB',97,caib qaholab,2
KA'IB'_K'AJOLAB',97,caib qaxtoq,2
KA'IB'_K'AJOLAB',97,caibqaholab,1
KA'IB'_K'AJOLAB',97,chimeba,1
KA'IB'_K'AJOLAB',97,e caib,2
KA'IB'_K'AJOLAB',97,e caib chi meba,4
KA'IB'_K'AJOLAB',97,e caib chiqa holab,4
KA'IB'_K'AJOLAB',97,e caib qaholab,3
KA'IB'_K'AJOLAB',97,e pu caib,3
KA'IB'_K'AJOLAB',97,eca ib qaholab,3
KA'IB'_K'AJOLAB',97,ecaibme ba,2
KA'IB'_K'AJOLAB',97,ivalcval,1
KA'IB'_K'AJOLAB',97,ivi,1
KA'IB'_K'AJOLAB',97,ix qaholab,2
KA'IB'_K'AJOLAB',97,ixcachac,1
KA'IB'_K'AJOLAB',97,ixme ba,2
KA'IB'_K'AJOLAB',97,ixqa holab,2
KA'IB'_K'AJOLAB',97,ixqaholab,1
KA'IB'_K'AJOLAB',97,ixvi,1
KA'IB'_K'AJOLAB',97,oh ivi,2
KA'IB'_K'AJOLAB',97,oh qui quexel,3
KA'IB'_K'AJOLAB',97,oh xahol,2
KA'IB'_K'AJOLAB',97,qa holab,2
KA'IB'_K'AJOLAB',97,qaho lab,2
KA'IB'_K'AJOLAB',97,qaholab,1
KA'IB'_K'AJOLAB',97,qui chac,2
KA'IB'_K'AJOLAB',97,quichac,1
KA'IB'_K'AJOLAB',97,vi,1
KA'IB'_K'AJOLAB',97,vmial vqahol,2
KA'IB'_K'AJOLAB',97,vqahol,1
KA'IB'_K'AJOLAB',97,vqahol ahau,2
KA'IB'_K'AJOLAB',97,vqahol naol,2
KA'MUL_ALOM,1,camul alo m,3
KA'MUL_K'AJOLOM,1,camul qaholom,2
KAB',1,cab,1
KAB'RAQAN,22,at qahol,2
KAB'RAQAN,22,cab racan,2
KAB'RAQAN,22,cab rracan,2
KAB'RAQAN,22,cabracan,1
KAB'RAQAN,22,cabrracan,1
KAB'RAQAN,22,v cab v qahol,4
KAB'RAQAN,22,vcab nima rizai rib,4
KAJIB'_UNIM_JA,5,cahib chi nimha,3
KAJIB'_UNIM_JA,5,cahib chiahauab,2
KAJIB'_UNIM_JA,5,cahib naipuch chi nimha,4
KAJIB'_UNIM_JA,5,cahib vnim ha,3
