seq_id|ana_id
581|xib'alb'a
582|jun_b'atz
583|jun_chowen
584|jun_junajpu
585|jun_b'atz
586|jun_chowen
587|junajpu
588|xb'alamq'e
589|usamajel_xib'alb'a
590|jun_kame'
591|wuqub'_kame'
592|rajpop
593|jun_junajpu
594|wuqub'_junajpu
595|rajawal_xib'alb'a
596|chaaj
597|rajawal_xib'alb'a
598|b'ate
599|pachq'ab'
600|kik'
601|rajawal_xib'alb'a
602|usamajel_xib'alb'a
603|usamajel_xib'alb'a
604|tukur
605|ch'abi'_tukur
606|juraqan_tukur
607|kaqix_tukur
608|jolom_tukur
609|usamajel_xib'alb'a
610|ch'abi'_tukur
611|juraqan_tukur
612|jun_raqan
613|kaqix_tukur
614|jolom_tukur
615|usamajel_xib'alb'a
616|rajpop
617|xib'alb'a
618|jom
619|chaaj
620|jun_junajpu
621|wuqub'_junajpu
622|jom
623|nim_xob'_karchaj
624|tukur
625|jom
626|jun_kame'
627|wuqub'_kame'
628|ajal_puj
629|ajal_q'ana
630|ch'amiya_baq
631|ch'amiya_jolom
632|xikiri_pat
633|kuchuma_kik'
634|ajal_mes
635|ajal_toq'ob
636|ajaw_xik
637|patan
638|rajawal_xib'alb'a
639|tukur
640|jun_kame'
641|wuqub'_kame'
642|rajawal_xib'alb'a
643|ixkik'
644|ixkik'
645|jun_junajpu
646|ixkik'
647|usamajel_xib'alb'a
648|kik'
649|su'
650|ixmukane
651|jun_b'atz
652|jun_chowen
653|ixkik'
654|ixmukane
655|jun_junajpu
656|wuqub'_junajpu
657|jun_junajpu
658|wuqub'_junajpu
659|usamajel_xib'alb'a
660|xib'alb'a
661|nu'_siwan
662|k'ulku_siwan
663|ja'_simaj
664|kik'_ya'
665|puj_chi_ja'
666|kaqa_b'e
667|q'eqa_b'e
668|saqi_b'e
669|q'ana_b'e
670|q'eqa_b'e
671|rajawal_xib'alb'a
672|q'eqa_b'e
673|xib'alb'a
674|rajawal_xib'alb'a
675|xib'alb'a
676|jun_kame'
677|wuqub'_kame'
678|rajawal_xib'alb'a
679|rajawal_xib'alb'a
680|jun_junajpu
681|wuqub'_junajpu
682|jun_kame'
683|wuqub'_kame'
684|b'ate
685|pachq'ab'
686|xib'alb'a
687|rajawal_xib'alb'a
688|q'equma_ja
689|xib'alb'a
690|chaaj
691|xib'alb'a
692|chaaj
693|chaaj
694|chaaj
695|xib'alb'a
696|chaaj
697|chaaj
698|xib'alb'a
699|jun_junajpu
700|wuqub'_junajpu
701|q'equma_ja
702|jom
703|jun_kame'
704|wuqub'_kame'
705|rajawal_xib'alb'a
706|jun_junajpu
707|wuqub'_junajpu
708|rajawal_xib'alb'a
709|xib'alb'a
710|q'equma_ja
711|xuxulim_ja
712|b'alam_ja
713|b'alam
714|b'alam
715|b'alam_ja
716|sotz'i_ja
717|sotz
718|sotz'i_ja
719|sotz
720|chayim_ja
721|tijob'al_ja
722|xib'alb'a
723|jun_junajpu
724|wuqub'_junajpu
725|tijob'al_ja
726|jun_junajpu
727|wuqub'_junajpu
728|jun_kame'
729|wuqub'_kame'
730|jun_kame'_wuqub'_kame'
731|jun_kame'
732|wuqub'_kame'
733|pusb'al_chaaj
734|jun_junajpu
735|jun_junajpu
736|jun_kame'
737|wuqub'_kame'
738|jun_junajpu
739|jun_junajpu
740|tzima
741|jun_junajpu
742|jun_kame'
743|wuqub'_kame'
744|jun_junajpu
745|tzima
746|rajawal_xib'alb'a
747|jun_junajpu
748|xib'alb'a
749|rajawal_xib'alb'a
750|jun_junajpu
751|tzima
752|ixkik'
753|ixkik'
754|kuchuma_kik'
755|ixkik'
756|kuchuma_kik'
757|ixkik'
758|ixkik'
759|pusb'al_chaaj
760|ixkik'
761|jun_junajpu
762|jun_junajpu
763|jun_junajpu
764|ixkik'
765|ixkik'
766|jun_junajpu
767|ixkik'
768|jun_junajpu
769|jun_junajpu
770|ixkik'
771|jun_junajpu
772|jun_junajpu
773|jun_junajpu
774|jun_junajpu
775|jun_junajpu
776|ka'ib'_k'ajolab'
777|ka'ib'_k'ajolab'
778|ka'ib'_k'ajolab'
779|ka'ib'_k'ajolab'
780|jun_junajpu
781|jun_junajpu
782|ka'ib'_k'ajolab'
783|jun_junajpu
784|wuqub'_junajpu
785|jun_raqan
786|ch'ipi_kaqulja
787|raxa_kaqulja
788|ixkik'
789|junajpu
790|xb'alamq'e
791|ixkik'
792|kuchuma_kik'
793|kuchuma_kik'
794|kuchuma_kik'
795|ixkik'
796|kuchuma_kik'
797|ixkik'
798|rajawal_xib'alb'a
799|jun_kame'
800|wuqub'_kame'
801|kuchuma_kik'
802|rajawal_xib'alb'a
803|kuchuma_kik'
804|rajawal_xib'alb'a
805|rajawal_xib'alb'a
806|ixkik'
807|ixkik'
808|kuchuma_kik'
