folio,side,para_num,lb_n,found_phrase,matched_form,ana_id,score,line_text
41,2,1,46,hacavitz,ha cavitz,JAQAWITZ_JUYUB',94.11764705882352,hacavitz caholal vach chiquiva
42,2,0,8,hacavitz,ha cavitz,JAQAWITZ_JUYUB',94.11764705882352,ri tohil aulix hacavitz xav qui
42,2,0,12,hacavitz,ha cavitz,JAQAWITZ_JUYUB',94.11764705882352,tohil aulix hacavitz na quitah
42,2,0,16,hacavitz,ha cavitz,JAQAWITZ_JUYUB',94.11764705882352,vach tohil aulix hacavitz ta xqui
42,2,0,17,qui chuc,qui chuch,CHIMALMAT,94.11764705882352,ziz quixiquin qui chuc chuvach
42,2,0,17,qui chuc,qui chuch,IXB'AQIYALO,94.11764705882352,ziz quixiquin qui chuc chuvach
42,2,0,17,qui chuc,qui chuch,IXKIK',94.11764705882352,ziz quixiquin qui chuc chuvach
42,2,0,31,hacavitz,ha cavitz,JAQAWITZ_JUYUB',94.11764705882352,tohil ruq aulix x hacavitz
43,1,0,27,hacavitz,ha cavitz,JAQAWITZ_JUYUB',94.11764705882352,hacavitz xcolo cut qui qahol chiri
43,1,1,43,hacavitz,ha cavitz,JAQAWITZ_JUYUB',94.11764705882352,mac vchaquic tohil avlix hacavitz
43,2,0,10,hacavitz,ha cavitz,JAQAWITZ_JUYUB',94.11764705882352,hacavitz areta cut ca cabauil
44,1,0,11,epu caib,e pu caib,KA'IB'_K'AJOLAB',94.11764705882352,epu caib xtah xpuch qui bi
44,1,1,24,hacavitz,ha cavitz,JAQAWITZ_JUYUB',94.11764705882352,curi tohil aulix hacavitz xeopon
44,2,1,37,ri ahauab,riahauab,RAJAWAL_XIB'ALB'A,94.11764705882352,zucu xequicot ri ahauab ta
44,2,1,45,ri ahauab,riahauab,RAJAWAL_XIB'ALB'A,94.11764705882352,macunic xquina ri ahauab ta
45,2,0,2,hacavitz,haca vitz,JAQAWITZ,94.11764705882352,hacavitz vbi huyub eqovi xqo
45,2,0,2,hacavitz,ha cavitz,JAQAWITZ_JUYUB',94.11764705882352,hacavitz vbi huyub eqovi xqo
46,2,0,15,hacavitz,haca vitz,JAQAWITZ,94.11764705882352,are qo chuvi huyub hacavitz vbi
47,1,0,34,hacavitz,haca vitz,JAQAWITZ,94.11764705882352,chuvi hacavitz quequicot chic
47,2,0,47,hacavitz,haca vitz,JAQAWITZ,94.11764705882352,cut chiri chuvi huyub hacavitz
48,1,0,5,qui cahau,quicahau,JUN_JUNAJPU,94.11764705882352,are natabal rech qui cahau xa
48,1,0,7,quicahau,qui cahau,JUNAJPU,94.11764705882352,ba bal rech quicahau xehuzu
48,1,0,7,quicahau,qui cahau,JUN_JUNAJPU,94.11764705882352,ba bal rech quicahau xehuzu
48,1,0,9,qui cahau,quicahau,JUN_JUNAJPU,94.11764705882352,qui cahau areta xvinaquir vi
48,1,0,18,hacavitz,haca vitz,JAQAWITZ,94.11764705882352,yub hacavitz xeyaluh chi vi qui
48,1,0,18,hacavitz,ha cavitz,JAQAWITZ_JUYUB',94.11764705882352,yub hacavitz xeyaluh chi vi qui
48,1,0,24,qui cahau,quicahau,JUN_JUNAJPU,94.11764705882352,nabah qui cahau nim vquih ri
48,1,0,29,qui cahau,quicahau,JUN_JUNAJPU,94.11764705882352,canoc rumal qui cahau ya re
48,1,1,40,qui cahau,quicahau,JUN_JUNAJPU,94.11764705882352,quxlaan ri vpixab qui cahau
48,1,1,42,qui cahau,quicahau,JUN_JUNAJPU,94.11764705882352,camoc qui cahau xya quixoquil
48,2,1,22,rahauarem,ahauarem,NAKXIT,94.11764705882352,catol tzih tzatz rahauarem are
48,2,1,29,rahauarem,ahauarem,NAKXIT,94.11764705882352,nel rahauarem aretac vbi va
48,2,2,40,hacavitz,haca vitz,JAQAWITZ,94.11764705882352,ui quitinamit hacavitz vbi chi
49,1,0,4,cahauarem,ahauarem,NAKXIT,94.11764705882352,nabe xquiz taquicut cahauarem
49,1,0,5,hacavitz,haca vitz,JAQAWITZ,94.11764705882352,are eqo chiri hacavitz xaqo
49,1,0,21,hacavitz,haca vitz,JAQAWITZ,94.11764705882352,hacavitz vbi taxeul
49,2,1,36,cahauarem,ahauarem,NAKXIT,94.11764705882352,cut cahauarem ri taxquiba
50,1,0,26,rahauarem,ahauarem,NAKXIT,94.11764705882352,nim vi rahauarem quiche ahau
50,1,0,44,qui cuch,qui chuch,CHIMALMAT,94.11764705882352,taxquiziih vloc are qui cuch
50,1,0,44,qui cuch,qui chuch,IXB'AQIYALO,94.11764705882352,taxquiziih vloc are qui cuch
50,1,0,44,qui cuch,qui chuch,IXKIK',94.11764705882352,taxquiziih vloc are qui cuch
50,2,1,29,cahauarem,ahauarem,NAKXIT,94.11764705882352,vnimaric chic cahauarem e qui
51,1,4,41,hacavitz,haca vitz,JAQAWITZ,94.11764705882352,ahau ahau hacavitz cahib a
51,1,4,41,hacavitz,ha cavitz,JAQAWITZ_JUYUB',94.11764705882352,ahau ahau hacavitz cahib a
52,1,0,10,hun ahau,hun aha u,JUN_KAME'_WUQUB'_KAME,94.11764705882352,xqohe ta hun ahau naual ta
52,1,1,27,hun ahau,hun aha u,JUN_KAME'_WUQUB'_KAME,94.11764705882352,uab eq'aq' quicab vbi hun ahau
52,1,1,33,vtina mit,tina mit,Q'UMARKAJ,94.11764705882352,xpaxinic vzivan vtina mit chu
52,2,1,29,xqui cuch,xquicuch,IXKIK',94.11764705882352,mit amac xecha ta xqui cuch
53,1,0,10,cabracan,cabrracan,KAB'RAQAN,94.11764705882352,lahuh ruq chic ah cabracan cabi
54,1,0,41,cahauarem,ahauarem,NAKXIT,94.11764705882352,cahauarem chiquipacaba quivach
54,2,0,20,hacavitz,ha cavitz,JAQAWITZ_JUYUB',94.11764705882352,puch tohil aulix hacavitz pam
54,2,0,32,rahauarem,ahauarem,NAKXIT,94.11764705882352,ch ahauarem are rahauarem
55,2,15,37,cucumatz,c ucumatz,Q'UKUMATZ_KQCINCO,94.11764705882352,a hau ah cucumatz hun vnimha
56,2,9,17,h acavitz,hacavitz,JAQAWITZ,94.11764705882352,h acavitz cut vcah ahau hun
56,2,9,17,h acavitz,hacavitz,JAQAWITZ_JUYUB',94.11764705882352,h acavitz cut vcah ahau hun
34,1,2,30,cahib chi vinac,e cahib chi vinac,XA_Q'ANA_JAL,93.75,cahib chi vinac vxe vticaribal que
1,1,1,6,tinamit,tina mit,Q'UMARKAJ,93.33333333333333,pa tinamit quiche ramac qui
2,1,0,1,huracan,hu racan,JUN_RAQAN,93.33333333333333,caculha huracan nabe vcab
3,1,0,11,cah tzac,ah tzac,TZ'AQOL,93.33333333333333,bixic cabi rumal oh cah tzac
4,1,0,3,hunahpu,hun ahpu,JUNAJPU,93.33333333333333,ta chuxoc chicutun ibi hunahpu
4,1,0,3,hunahpu,hun ahpu,JUN_JUNAJPU,93.33333333333333,ta chuxoc chicutun ibi hunahpu
4,1,0,4,hunahpu,hun ahpu,JUNAJPU,93.33333333333333,vuch hunahpu vtiu camul alo
