folio_num,side,lb_num,para_num,line_str
5,verso,36,10,nu calibal cazac paque v-
5,verso,37,10,vach vleu ta quinel vloc
5,verso,38,10,chuvach nu calibal quehe
5,verso,39,10,cut in quih vi in pu ic ru-
5,verso,40,10,mal zaquil al zaquil qahol
5,verso,41,10,ta chuxoc rumal chinah copon
5,verso,42,10,vi nu vach: qhari vucub ca-
5,verso,43,10,"quix macu quitzih are ta quih,"
5,verso,44,10,"ri, vcub caquix xere cunima-"
5,verso,45,10,rizah rib ri v xic v puvac
5,verso,46,10,xere cut tocol vi v vach ri
5,verso,47,10,chicube vi mana ronohel ta
6,recto,1,10,v xe cah copon vi v vach. maha
6,recto,2,10,"cut qui quiloc v vach quih, ic"
6,recto,3,10,chumil mahaoc cazaquiroc
6,recto,4,10,quehe cut cucobizah vi rib ri
6,recto,5,10,"vucub caquix chi quihil, chi"
6,recto,6,10,iquil xa maha chicatunoc chi-
6,recto,7,10,calahoboc vzaquil quih ic xa
6,recto,8,10,xuraih nimal icouen are ta
6,recto,9,10,xbanic butic cumal poy aham
6,recto,10,10,che quehe cut xchicabÿh chic
6,recto,11,10,ta xcamic vucub caquix ta
6,recto,12,10,"xchacatahic, ta xbanatahic vi-"
6,recto,13,10,"nac rumal ahtzac, ahbit."
6,recto,14,11,Vae vxe vchacatahic v yi-
6,recto,15,11,coxic chi puch v quih vucub
6,recto,16,11,ca quix cumal e caib qaholab
6,recto,17,11,"hun ahpu vbi hun, xbalan-"
6,recto,18,11,que vbi vcab xavi e caba-
6,recto,19,11,uil rumal itzel xquilo ri ni-
6,recto,20,11,marizai rib xrah vban chu-
6,recto,21,11,"vach vqux cah, xqha curi"
6,recto,22,11,qaholab mavi vtz ta chuxoc
6,recto,23,11,mavi chiqaze vinac varal
6,recto,24,11,chuvach vleu quehe cut
6,recto,25,11,"chicatih, v vbaxic chuvi re-"
6,recto,26,11,cha chica v vbah vi chiri
6,recto,27,11,chicacoh vi viab ta quizoc
6,recto,28,11,"v quinomal, v xit, v puvac"
6,recto,29,11,"v cual, v yamanic ri cuca-"
6,recto,30,11,cabeh que he cut chubano
6,recto,31,11,ronohel vinac. maui are
6,recto,32,11,chivinaquir vi εaεal ri xa
6,recto,33,11,puvac ta chuxoc xeqha ri
6,recto,34,11,qaholab huhun chi vb qui-
6,recto,35,11,telen qui cabichal are cu-
6,recto,36,11,ri vvcub caquix e caib v qa-
6,recto,37,11,hol are nabe al ri zipac-
6,recto,38,11,"na, vcab al chicut ri cab-"
6,recto,39,11,racan chimalmat cut vbi
6,recto,40,11,qui chuch rixoquil ri v-
6,recto,41,11,vcub caquix are curi zi-
6,recto,42,11,pacna are chirechaah ri
6,recto,43,11,nimac huiub. ri chicac hun
6,recto,44,11,ahpu pe cul ya xcanul ma-
6,recto,45,11,camob huliznab chuchaxic
6,recto,46,11,vbi huiub xqolic ta chi za-
6,recto,47,11,quiric xa hun aεab chi vi-
6,verso,1,11,naquiric rumal ri zipacna
6,verso,2,11,are ri chicuri cabracan chi-
6,verso,3,11,zilab huiub rumal chine-
6,verso,4,11,"bouic chuti huiub, nima"
