folio|side|para|lb|lb_n|lb_str|lb_str_plain
2|2|6|7|7|"am cacha ri <rs ana=""ALOM"">alom</rs>, <rs ana=""K'AJOLOM"">qaholom</rs>"|am cacha ri alom, qaholom
2|2|6|8|8|xa pa chilolinic, maxa on chi<pc> –</pc>|xa pa chilolinic, maxa on chi–
2|2|6|9|9|ꜩininic vxeche, caam, cate vꜩ|tzininic vxeche, caam, cate vtz
2|2|6|10|10|chiqohe chahal re xeqha cut|chiqohe chahal re xeqha cut
2|2|6|11|11|ta xquinohih, xqhiꜩihoh puch|ta xquinohih, xqhitzihoh puch
2|2|6|12|12|"huzu cu xvinaquir <rs ana=""KEJ"">queh</rs> <rs ana=""TZ'IKIN"">ꜩiquin</rs>"|huzu cu xvinaquir queh tziquin
2|2|6|13|13|"ta zquizipah cut rochoch <rs ana=""KEJ"">qu<pc> –</pc>"|ta zquizipah cut rochoch qu–
2|2|6|14|14|"eh</rs> <rs ana=""TZ'IKIN"">ꜩiquin</rs>. at <rs ana=""KEJ"">queh</rs> pa beyaa"|eh tziquin. at queh pa beyaa
2|2|6|15|15|pa zivan catvar vi, varal cat|pa zivan catvar vi, varal cat
2|2|6|16|16|qohe vi pa quim pa zacul, pa|qohe vi pa quim pa zacul, pa
2|2|6|17|17|quechelah, quipoco vi ivib, ca<pc> –</pc>|quechelah, quipoco vi ivib, ca–
2|2|6|18|18|hcah ibinibal, ychacabal chu<pc> –</pc>|hcah ibinibal, ychacabal chu–
2|2|6|19|19|xic xevqhaxic ta xquichic cut|xic xevqhaxic ta xquichic cut
2|2|6|20|20|"cochoch chuti <rs ana=""TZ'IKIN"">ꜩiquin</rs>, nima"|cochoch chuti tziquin, nima
2|2|6|21|21|"<rs ana=""TZ'IKIN"">ꜩiquin</rs>. ixix <rs ana=""TZ'IKIN"">ꜩiquin</rs> chuvi"|tziquin. ixix tziquin chuvi
2|2|6|22|22|che, chuvi caam quixochoch<pc> –</pc>|che, chuvi caam quixochoch–
2|2|6|23|23|in vi, quixhain vi, chiri quix<pc> –</pc>|in vi, quixhain vi, chiri quix–
2|2|6|24|24|poc vi, quixquiritah vi chu e<pc> –</pc>|poc vi, quixquiritah vi chu e–
2|2|6|25|25|ab che, chueab caam xevqh<pc> –</pc>|ab che, chueab caam xevqh–
2|2|6|26|26|"axic <rs ana=""KEJ"">quieh</rs> <rs ana=""TZ'IKIN"">ꜩiquin</rs> taxquiba<pc> –</pc>"|axic quieh tziquin taxquiba–
2|2|6|27|27|no quibanoh ronohel xuca<pc> –</pc>|no quibanoh ronohel xuca–
2|2|6|28|28|mo v varabal, v yacalibal|mo v varabal, v yacalibal
2|2|6|29|29|quehe cut cochoch vi chicop|quehe cut cochoch vi chicop
2|2|6|30|30|"ri vleu xuyao <rs ana=""ALOM"">alom</rs>, <rs ana=""K'AJOLOM"">qaho<pc> –</pc>"|ri vleu xuyao alom, qaho–
2|2|6|31|31|lom</rs>. xuꜩininaca chic ronohel|lom. xutzininaca chic ronohel
2|2|6|32|32|"ri <rs ana=""KEJ"">queh</rs> <rs ana=""TZ'IKIN"">ꜩiquin</rs>"|ri queh tziquin
2|2|7|33|33|"<hi rend=""large"">T</hi>a xevqhax chicut rÿ <rs ana=""KEJ"">queh</rs>"|Ta xevqhax chicut ri queh
