entity_id,edition,ohco_path,ngram,ngram_len,match_type,label,type
TZIKWIL_B'ALAM,christenson,7445,"Tz'ikwil B'alam,",2,fuzzy,Tzikwil B'alam,objeto
JOLOM,christenson,7446,"Jolom,",1,exact,Jolom,objeto
PICH_KEJ,christenson,7447,"Pich Kej,",2,exact,Pich Kej,objeto
MAKUTAX,christenson,7448,"Makutax,",1,exact,Makutax,objeto
T'OT_TATAN,christenson,7449,"T'ot' tatam,",2,fuzzy,T'ot' Tatan,objeto
K'US_B'US,christenson,7450,"K'us B'us,",2,exact,K'us B'us,objeto
KAXKON,christenson,7451,"Kaxkon,",1,exact,Kaxkon,objeto
CHIYOM,christenson,7452,"Chiyom,",1,exact,Chiyom,objeto
ASTAPULUL,christenson,7453,Astapulul.,1,exact,Astapulul,objeto
PALO,christenson,7455,palo,1,exact,Palo,lugar
TULÁN,christenson,7456,"Tulan,",1,exact,Tulán,topónimo
CHI_ISMACHI',christenson,7461,tinamit,1,exact,Chi Ismachi',topónimo
JAQAWITZ,christenson,7461,Jaq'awitz,1,fuzzy,Jaqawitz,deidad
TAMUB',christenson,7462,"Tamub',",1,exact,Tamub',linaje
ILOKAB',christenson,7463,Ilokab',1,exact,Ilokab',linaje
RAB'INALEB',christenson,7471,"Rab'inaleb',",1,exact,Rab'inaleb',linaje
AJ,christenson,7473,Aj,1,exact,Aj,objeto
JAQAWITZ,christenson,7483,Jaq'awitz.,1,fuzzy,Jaqawitz,deidad
B'ALAM_KI'TZE',christenson,7492,"B'alam Kitze,",2,fuzzy,B'alam Ki'tze',persona
B'ALAM_AQ'AB',christenson,7493,"B'alam Aq'ab',",2,exact,B'alam Aq'ab',persona
MAJUK'UTAJ,christenson,7494,Majukutaj.,1,fuzzy,Majuk'utaj,persona
ALOM,christenson,7505,"chuch,",1,exact,Alom,deidad
CHI_ISMACHI',christenson,7511,"tinamit,",1,exact,Chi Ismachi',topónimo
JAQAWITZ,christenson,7512,Jaq'awitz,1,fuzzy,Jaqawitz,deidad
CHI_ISMACHI',christenson,7515,tinamit,1,exact,Chi Ismachi',topónimo
CHI_K'IX,christenson,7516,Chi K'ix,2,exact,Chi K'ix,topónimo
CHI_ISMACHI',christenson,7518,tinamit.,1,exact,Chi Ismachi',topónimo
WA,christenson,7522,"wa',",1,fuzzy,Wa,objeto
CHI_ISMACHI',christenson,7524,tinamit.,1,exact,Chi Ismachi',topónimo
IXTAJ_IXPUCH',christenson,7525,"mi'al,",1,fuzzy,Ixtaj Ixpuch',grupo de deidades
IXTAJ_IXPUCH',christenson,7529,mi'al,1,fuzzy,Ixtaj Ixpuch',grupo de deidades
CHI_ISMACHI',christenson,7532,tinamit.,1,exact,Chi Ismachi',topónimo
WA,christenson,7533,Wa',1,fuzzy,Wa,objeto
CHI_K'IX,christenson,7534,Chi K'ix:,2,exact,Chi K'ix,topónimo
JUMETA_JA,christenson,7536,"Jumeta Ja,",2,exact,Jumeta Ja,topónimo
K'ULB'A,christenson,7537,"K'ulb'a,",1,exact,K'ulb'a,topónimo
KAWINAL,christenson,7538,Kawinal,1,exact,Kawinal,topónimo
CHI_ISMACHI',christenson,7542,tinamit,1,exact,Chi Ismachi',topónimo
CHI_ISMACHI',christenson,7548,tinamit.,1,exact,Chi Ismachi',topónimo
KA',christenson,7553,K'a,1,fuzzy,Ka',objeto
CHI_ISMACHI',christenson,7554,tinamit,1,exact,Chi Ismachi',topónimo
WA,christenson,7557,Wa',1,fuzzy,Wa,objeto
CHI_ISMACHI',christenson,7557,tinamit,1,exact,Chi Ismachi',topónimo
CHI_ISMACHI',christenson,7559,CHI ISMACHI',2,exact,Chi Ismachi',topónimo
CHI_ISMACHI',christenson,7560,tinamit,1,exact,Chi Ismachi',topónimo
B'ELEJEB'_KEJ,christenson,7567,B'elejeb' Kej,2,exact,B'elejeb' Kej,persona
Q'ALEL_AJAW,christenson,7568,Q'alel Ajaw.,2,exact,Q'alel Ajaw,linaje
ISTAYUL,christenson,7570,Istayul,1,exact,Istayul,persona
AJ,christenson,7571,Aj,1,exact,Aj,objeto
AJ,christenson,7572,Aj,1,exact,Aj,objeto
CHI_ISMACHI',christenson,7574,Chi Ismachi'.,2,exact,Chi Ismachi',topónimo
CHI_ISMACHI',christenson,7575,tinamit,1,exact,Chi Ismachi',topónimo
OXIB_RI_NIM_JA,christenson,7577,oxib' ri nim ja,4,exact,Oxib' ri nim ja,linaje
CHI_ISMACHI',christenson,7578,Chi Ismachi'.,2,exact,Chi Ismachi',topónimo
KA',christenson,7580,K'a,1,fuzzy,Ka',objeto
AJAW_K'ICHE',christenson,7586,Ajaw K'iche'.,2,exact,Ajaw K'iche',linaje
KA',christenson,7588,ka,1,fuzzy,Ka',objeto
CHI_ISMACHI',christenson,7589,Chi Ismachi'.,2,exact,Chi Ismachi',topónimo
KA',christenson,7602,K'a,1,fuzzy,Ka',objeto
CHI_ISMACHI',christenson,7608,Chi Ismachi'.,2,exact,Chi Ismachi',topónimo
ILOKAB',christenson,7612,"Ilokab',",1,exact,Ilokab',linaje
ILOKAB',christenson,7613,Ilokab'.,1,exact,Ilokab',linaje
ISTAYUL,christenson,7616,Istayul,1,exact,Istayul,persona
ILOKAB',christenson,7617,Ilokab',1,exact,Ilokab',linaje
ILOKAB',christenson,7621,Ilokab'.,1,exact,Ilokab',linaje
CHI_ISMACHI',christenson,7624,"tinamit,",1,exact,Chi Ismachi',topónimo
ILOKAB',christenson,7635,Ilokab',1,exact,Ilokab',linaje
CHI_ISMACHI',christenson,7645,tinamit.,1,exact,Chi Ismachi',topónimo
CHI_ISMACHI',christenson,7654,"Chi Ismachi',",2,exact,Chi Ismachi',topónimo
CHI_ISMACHI',christenson,7654,tinamit,1,exact,Chi Ismachi',topónimo
CHI_ISMACHI',christenson,7662,"Chi Ismachi',",2,exact,Chi Ismachi',topónimo
ISTAYUL,christenson,7675,"Istayul,",1,exact,Istayul,persona
AJAW_K'ICHE',christenson,7677,Ajaw K'iche'.,2,exact,Ajaw K'iche',linaje
OXIB_RI_NIM_JA,christenson,7678,ox ch'ob' chi,3,fuzzy,Oxib' ri nim ja,linaje
CHI_ISMACHI',christenson,7679,Chi Ismachi',2,exact,Chi Ismachi',topónimo
CHI_ISMACHI',christenson,7679,tinamit,1,exact,Chi Ismachi',topónimo
KA',christenson,7680,K'a,1,fuzzy,Ka',objeto
IXTAJ_IXPUCH',christenson,7681,mi'al.,1,fuzzy,Ixtaj Ixpuch',grupo de deidades
WA,christenson,7687,"wa,",1,exact,Wa,objeto
IXTAJ_IXPUCH',christenson,7689,mi'al.,1,fuzzy,Ixtaj Ixpuch',grupo de deidades
NIJA'IB',christenson,7707,Nijaib',1,fuzzy,Nija'ib',linaje
AJAW_K'ICHE',christenson,7708,"Ajaw K'iche',”",2,exact,Ajaw K'iche',linaje
CHI_ISMACHI',christenson,7712,Chi Ismachi'.,2,exact,Chi Ismachi',topónimo
CHI_ISMACHI',christenson,7715,tinamit.,1,exact,Chi Ismachi',topónimo
CHI_ISMACHI',christenson,7716,Chi Ismachi'.,2,exact,Chi Ismachi',topónimo
CHI_ISMACHI',christenson,7718,tinamit.,1,exact,Chi Ismachi',topónimo
Q'UMARKAJ,christenson,7719,Q'umarkaj,1,exact,Q'umarkaj,topónimo
Q'UKUMATZ,christenson,7723,"Q'ukumatz,",1,exact,Q'ukumatz,deidad
