entity_id,label,type,lang,form
B'ATE,B'ate,objeto,eng,YOKE
B'ATE,B'ate,objeto,spa,EL BATE
B'ATZ'A_NJSEIS,B'atz'a (gen. 6),persona,quc,B'ATZ'A (GEN. 6)
B'ATZ'A_NJSEIS,B'atz'a (gen. 6),persona,quc,B'ATZ'A NJSEIS
B'ATZ'A_NJSEIS,B'atz'a (gen. 6),persona,eng,THREAD
B'ATZ'A_NJSEIS,B'atz'a (gen. 6),persona,eng,HOWLER MONKEY
B'ATZ'A_NJSEIS,B'atz'a (gen. 6),persona,spa,BATZA
B'ELEJEB'_KEJ,B'elejeb' Kej,persona,quc,B'ELEJEB' KEJ
B'ELEJEB'_KEJ,B'elejeb' Kej,persona,eng,NINE DEER
B'ELEJEB'_KEJ,B'elejeb' Kej,persona,spa,BELEHEB QUÍH
B'ELEJEB'_KEJ_NJCUATRO,B'elejeb' Kej (gen. 4),persona,quc,B'ELEJEB' KEJ (GEN. 4)
B'ELEJEB'_KEJ_NJCUATRO,B'elejeb' Kej (gen. 4),persona,quc,B'ELEJEB' KEJ NJCUATRO
B'ELEJEB'_KEJ_NJCUATRO,B'elejeb' Kej (gen. 4),persona,eng,NINE DEER
B'ELEJEB'_KEJ_NJCUATRO,B'elejeb' Kej (gen. 4),persona,spa,BELEHEB QUEH
B'ELEJEB'_KEJ_NJNUEVE,B'elejeb' Kej (gen. 9),persona,quc,B'ELEJEB' KEJ (GEN. 9)
B'ELEJEB'_KEJ_NJNUEVE,B'elejeb' Kej (gen. 9),persona,quc,B'ELEJEB' KEJ NJNUEVE
B'ELEJEB'_KEJ_NJNUEVE,B'elejeb' Kej (gen. 9),persona,eng,NINE DEER
B'ELEJEB'_KEJ_NJNUEVE,B'elejeb' Kej (gen. 9),persona,spa,BELEHEB QUÍH
B'ITOL,B'itol,deidad,quc,B'ITOL
B'ITOL,B'itol,deidad,eng,SHAPER
B'ITOL,B'itol,deidad,spa,BITOL
B'IX,B'ix,lugar,quc,B'IX
B'IX,B'ix,lugar,eng,MAIZEFIELD
B'IX,B'ix,lugar,spa,MÍLPA
B'OJ,B'oj,objeto,quc,B'OJ
B'OJ,B'oj,objeto,eng,POTS
B'OJ,B'oj,objeto,spa,"CAXETES, OLLAS"
B'OQOTAJINAQ_SANAYEB',B'oqotajinaq Sanayeb',lugar,quc,B'OQOTAJINAQ SANAYEB'
B'OQOTAJINAQ_SANAYEB',B'oqotajinaq Sanayeb',lugar,eng,PILED UP SAND
B'OQOTAJINAQ_SANAYEB',B'oqotajinaq Sanayeb',lugar,spa,LAS ARENAS
LAS_CASAS,Bartolomé de las Casas,persona,quc,BARTOLOMÉ DE LAS CASAS
LAS_CASAS,Bartolomé de las Casas,persona,quc,LAS CASAS
LAS_CASAS,Bartolomé de las Casas,persona,eng,FRAY BARTOLOMÉ DE LAS CASAS
LAS_CASAS,Bartolomé de las Casas,persona,spa,ÍLLMO Y NMO SOR D. FR. BARTOLOME DE LAS CASAS
B'ELEJEB'_TZI_KQDOCE,Belejeb Tz'i' (gen. 12),persona,quc,BELEJEB TZ'I' (GEN. 12)
B'ELEJEB'_TZI_KQDOCE,Belejeb Tz'i' (gen. 12),persona,quc,B'ELEJEB' TZI KQDOCE
B'ELEJEB'_TZI_KQDOCE,Belejeb Tz'i' (gen. 12),persona,eng,NINE DOG
B'ELEJEB'_TZI_KQDOCE,Belejeb Tz'i' (gen. 12),persona,spa,BELEHEB QÍ
CARLOS_V,Carlos V,persona,quc,CARLOS V
CARLOS_V,Carlos V,persona,spa,EL EMPERADOR CARLOS QUÍNTO
CH'AB'I_TUKUR,Ch'ab'i Tukur,deidad,quc,CH'AB'I TUKUR
