chap_num,line_num,eng_str,quc_str
4,280,"Bird,","Tz'ikin,"
4,281,"Puma,","Koj,"
4,282,"Jaguar,","B'alam,"
4,283,"Serpent,","Kumatz,"
4,284,"Rattlesnake,","Sochoj,"
4,285,"Pit viper,","K'an Ti',"
4,286,Guardian bushes.,Chajal k'a'am.
4,287,"Says the She Who Has Borne Children,","Kacha' ri Alom,"
4,288,He Who Has Begotten Sons:,K'ajolom:
4,289,“Merely will it be solitary?,“Xa pa chilolinik?
4,290,Not merely will it be silent,Ma xa'on chitz'ininik
4,291,"Beneath trees,","U xe' che',"
4,292,Bushes?,K'a'am?
4,293,Then good there shall be,K'ate utz chik'oje'
4,294,"Guardians of it,” they said therefore.","Chajal re,” xecha' k'ut."
4,295,"Then they considered,","Ta xkino'jij,"
4,296,"They spoke as well,","Xkitzijoj puch,"
4,297,Straightaway were created,Ju suk'u xwinaqir
4,298,"Deer,","Kiej,"
4,299,Birds.,Tz'ikin.
4,300,Then they gave as a gift therefore their homes,Ta xkisipaj k'ut rochoch
4,301,"Deer,","Kiej,"
4,302,Birds.,Tz'ikin.
4,303,"“You deer,","“At kiej,"
4,304,"In paths water,","Pa b'e ya',"
4,305,In canyons,Pa siwan
4,306,You sleep.,Katwar wi.
4,307,Here you exist,Waral katk'oje' wi
4,308,"In meadows,","Pa k'im,"
4,309,"In orchards,","Pa saq'ul,"
4,310,In forests,Pa k'eche'laj
4,311,Multiply yourselves.,Kipoq'o' wi iwib'.
4,312,"All fours your walk,","Kajkaj i b'inib'al,"
4,313,"Your standing on all fours will come to be,” it was said to them.","I chakab'al chuxik,” xe'uchaxik."
4,314,Then they established therefore,Ta xkich'ik k'ut
4,315,Their homes,Kochoch
4,316,"Small birds,","Ch'uti tz'ikin,"
4,317,Great birds.,Nima tz'ikin.
4,318,"“You, you birds, in its tops trees,","“Ix, ix tz'ikin, chuwi' che',"
4,319,In its tops bushes,Chuwi' k'a'am
4,320,"You make your homes,","Kixochochin wi,"
4,321,You make your houses.,Kixjain wi.
4,322,"There you multiply,","Chiri' kixpoq' wi,"
4,323,You are increased,Kixk'iritaj wi
4,324,"In their branches trees,","Chuq'ab' che',"
