line_num,spa_str,quc_str,line_marker
259,"Merely divided then existed water,","Xa ch'ob'ol chik xek'oje' wi ja',",
260,Then were revealed great mountains.,Ta xk'utunije'ik nima'q juyub'.,260
261,"Thus its creation earth this,","Keje' k'ut u winaqirik ulew ri',",
262,Then it was created by them,Ta xwinaqirik kumal,
263,"The its Heart Sky,","Ri u K'u'x Kaj,",
264,"Its Heart Earth, they are called.","U K'u'x Ulew, ke'uchaxik.",
265,"These therefore,","Ri' k'ut,",
266,They first,E nab'e,
267,They conceived it.,Xkino'jij.,
268,"It was set apart the sky,","Xk'olo wi ri kaj,",
269,"It was set apart also earth within water,","Xk'olo nay puch ulew chupan ja',",
270,"Thus its conception this,","Keje' k'ut u no'jixik ri',",270
271,"When they thought,","Ta xkino'jij,",
272,When they pondered,Ta xkib'isoj,
273,"Its successful completion,","Rutzinik,",
274,Its being made by them.,U b'anatajik kumal.,
275,THEN they conceived again,TA xkino'jij chik,
276,"Its animals mountain,","U chikopil juyub',",
277,"Guardians of forest,","Chajal re k'eche'laj,",
278,All its population mountain:,Ronojel u winaqil juyub':,
279,"The deer,","Ri kiej,",
280,"Bird,","Tz'ikin,",280
281,"Puma,","Koj,",
282,"Jaguar,","B'alam,",
283,"Serpent,","Kumatz,",
284,"Rattlesnake,","Sochoj,",
285,"Pit viper,","K'an Ti',",
286,Guardian bushes.,Chajal k'a'am.,
287,"Says the She Who Has Borne Children,","Kacha' ri Alom,",
288,He Who Has Begotten Sons:,K'ajolom:,
289,“Merely will it be solitary?,“Xa pa chilolinik?,
290,Not merely will it be silent,Ma xa'on chitz'ininik,290
291,"Beneath trees,","U xe' che',",
292,Bushes?,K'a'am?,
293,Then good there shall be,K'ate utz chik'oje',
294,"Guardians of it,” they said therefore.","Chajal re,” xecha' k'ut.",
295,"Then they considered,","Ta xkino'jij,",
296,"They spoke as well,","Xkitzijoj puch,",
297,Straightaway were created,Ju suk'u xwinaqir,
298,"Deer,","Kiej,",
299,Birds.,Tz'ikin.,
300,Then they gave as a gift therefore their homes,Ta xkisipaj k'ut rochoch,300
301,"Deer,","Kiej,",
302,Birds.,Tz'ikin.,
303,"“You deer,","“At kiej,",
304,"In paths water,","Pa b'e ya',",
305,In canyons,Pa siwan,
306,You sleep.,Katwar wi.,
307,Here you exist,Waral katk'oje' wi,
308,"In meadows,","Pa k'im,",
309,"In orchards,","Pa saq'ul,",
310,In forests,Pa k'eche'laj,310
311,Multiply yourselves.,Kipoq'o' wi iwib'.,
312,"All fours your walk,","Kajkaj i b'inib'al,",
313,"Your standing on all fours will come to be,” it was said to them.","I chakab'al chuxik,” xe'uchaxik.",
314,Then they established therefore,Ta xkich'ik k'ut,
315,Their homes,Kochoch,
316,"Small birds,","Ch'uti tz'ikin,",
317,Great birds.,Nima tz'ikin.,
318,"“You, you birds, in its tops trees,","“Ix, ix tz'ikin, chuwi' che',",
319,In its tops bushes,Chuwi' k'a'am,
320,"You make your homes,","Kixochochin wi,",320
321,You make your houses.,Kixjain wi.,
322,"There you multiply,","Chiri' kixpoq' wi,",
323,You are increased,Kixk'iritaj wi,
324,"In their branches trees,","Chuq'ab' che',",
325,"In their branches bushes,”","Chuq'ab' k'a'am,”",
326,"They were told deer,","Xe'uchaxik kiej,",
327,Birds.,Tz'ikin.,
328,When they did it,Ta xkib'ano,
329,"Their deed,","Ki b'anoj,",
330,"Everything received its sleeping place,","Ronojel xuk'amo u warab'al,",330
331,Its resting place.,U yakalib'al.,
332,Thus their homes,Keje' k'ut kochoch wi,
333,Animals the earth.,Chikop ri ulew.,
334,"They gave it,","Xuya'o,",
335,"She Who Has Borne Children,","Alom,",
