doc_id,doc_str
610,"Q'o'l,"
611,"Ta chawaxoq,"
612,Ta saqiroq.
613,"At ixim,"
614,"At tz'ite,"
615,"At q'ij,"
616,At b'it.
617,"Katchokonik,"
618,"Kattaqentaj,”"
619,"Xcha' chire ixim,"
620,"Tz'ite,"
621,"Q'ij,"
622,B'it.
623,"“Katk'ix la uloq,"
624,At u K'u'x Kaj.
625,"Mak'ajisaj u chi',"
626,U wach
627,"Tepew,"
628,"Q'ukumatz,”"
629,Xecha'.
630,Ta xkib'ij k'ut u suk'ulikil:
631,“Utz are' chuxik ri i poy
632,Ajam che'.
633,"Chich'awik,"
634,Chitzijon b'a la' chuwach ulew.
635,"Ta chuxoq,” xecha' k'ut."
636,Ta xkib'ij.
637,"Ju suk' xb'anik poy,"
638,Ajam che'.
639,"Xe winaq wachinik,"
640,Xe winaq tzijonik puch.
641,Are' winaqil
642,U wach ulew.
643,"Xe'uxik,"
644,"Xepoq'ik,"
645,"Xeme'alanik,"
646,Xek'ajolanik.
647,"Ri poy,"
648,Ajam che'.
649,"Ma k'u ja b'i ki k'u'x,"
650,Ma pu ja b'i ki na'oj.
651,"Mawi na'tal Kaj Tz'aq,"
652,Kaj B'it.
653,"Xaloq' xeb'inik,"
654,Xechakanik.
655,Mawi xkina'taj chik ri u K'u'x Kaj.
656,Keje' k'ut xepaj chi wi.
657,"Xa u tijtob'exik,"
658,Xa pu u wab'ab'exik chi winaq.
659,"Kech'aw nab'ek,"
660,Xa chaqi'j ki wach.
661,"Ma na sonol kaqan,"
662,Ki q'ab'.
663,"Maja b'i ki kik'el,"
664,Ki komajil.
665,"Maja b'i ki tiqowal,"
666,Ki kab'chiyal.
667,"Chaqi'j q'o'tz,"
668,K'oj ki wach.
669,"Kapichipoj kaqan,"
670,Ki q'ab'.
671,"Kayeyoj ki tio'jil,"
672,Keje' k'ut mawi xena'w chi wi
673,"Chuwach Tz'aqol,"
674,"B'itol,"
675,"Alay kech,"
676,K'u'xlay kech.
677,"E nab'e tzatz chi winaq,"
678,Xe'uxik waral chuwach ulew.
679,"K'ATE k'ut ki k'isik chik,"
680,"Ki ma'ixik,"
681,"Ki k'utuxik puch,"
682,"Xekamisax chik,"
683,"Poy,"
684,Ajam che'.
685,Ta xna'ojix ki b'utik rumal u K'u'x Kaj.
686,"Nima b'utik xb'anik, xpe pa ki wi',"
687,"Ri e poy,"
688,E ajam che'.
689,Tz'ite u tio'jil ri achij
690,Ta xajaxik
691,"Rumal Tz'aqol,"
692,B'itol.
693,"Ixoq,"
694,Sib'aq k'ut
695,U tio'jil
696,"Ixoq,"
697,"Xraj okik rumal Tz'aqol,"
698,B'itol.
699,"Mawi xena'wik,"
700,Ma pu xech'awik
701,"Chuwach Kaj Tz'aq,"
702,"Kaj B'it,"
703,"B'anol ke,"
704,Winaqirisay kech.
705,"Keje' k'ut ki kamisaxik,"
706,Xeb'utik.
707,Xpe nima q'ol
708,Chila' chi kaj.
709,Xe[pe] K'otk'o[l] Wach u b'i'
710,Xk'otin uloq u b'aq' ki wach.
711,"Xepe Kama Lotz,"
712,Xqupin ula ki jolom.
713,"Xpe Kotz' B'alam,"
714,Xti'ow ki tio'jil.
715,"Xpe Tukum B'alam,"
716,Xtukuwik.
717,"Xkich'o'wik ki b'aqil,"
718,Kib'och'il.
719,"Xq'ajixik,"
720,Xmuchu'lixik
721,Ki b'aqil.
722,"K'ajisab'al ki wach,"
723,"Rumal mawi ki na'wik chuwach ki chuch,"
724,"Chuwach puch ki qajaw,"
725,"Ri u K'u'x Kaj,"
726,Juraqan u b'i'.
727,Kumal xq'equ'marik u wach ulew.
728,"Xtikarik q'eqal jab',"
729,"Q'ijil jab',"
730,Aq'ab'al jab'.
731,"Xok ula ch'uti chikop,"
732,Nima chikop.
733,"Xq'ut ki wach rumal che',"
734,Ab'aj.
735,"Xch'awik ronojel ki ke'b'al,"
736,"Ki xot,"
737,"Ki laq,"
738,"Ki b'o'j,"
739,"Ki tz'i',"
740,"Ki ka',"
741,"Jaruj pa la',"
742,Ronojel xq'utu ki wach.
743,“K'ax xib'an chiqe.
744,"Xojiti'o,"
745,"Ix chi k'ut,"
746,"Xkixqati' chik,”"
747,"Xcha' ri ki tz'i',"
748,Kak' chikech.
749,Are' k'u ri ka':
750,"“Xojk'ok'onik iwumal,"
751,"Ju ta q'ij,"
752,"Ju ta q'ij,"
753,"Xq'eq,"
754,"Saqirik,"
755,"Amaq'el,"
756,Joli!
757,Joli!
758,Juki!
759,Juki!
760,Qa wach
761,Iwumal.
762,Are' ta nab'e qa patan chiwach
763,Ix ta na winaq.
764,Wakamik k'ut xchitij
765,Qa chuq'ab'.
766,"Xchiqake'j,"
767,"Xchiqajok' puch i tio'jil,”"
768,Xcha' ri ki ka' chike.
769,Are' k'u ri ki tz'i' xcha' chik ta xch'awik:
770,“Naqi pa rumal mawi chiya' qa wa?
771,"Xa kojmuqunik,"
772,"Xa pu kojikuxij uloq,"
773,Kojitzaq pu uloq.
774,"Yakal ub'i,"
775,Qa che'el iwumal
776,Ta kixwa'ik.
777,Xere kojiwucha'j wi.
778,"Mawi kojch'awik,"
779,Ma ta k'u mi xojk'amik chiwe.
780,Jupacha mawi mi xixna'wik?
781,Xixna'w ta k'ut.
782,Chiwij ta k'ut xojsach wi.
783,Wakamik k'ut xchitij
784,Qa b'aq
785,K'o pa qa chi'.
786,"Xkixqati'o,”"
787,Xecha' ri tz'i' chike.
788,Ta xq'ut ki wach.
789,"Are' chi k'u ri ki xot,"
790,"Ki b'o'j, xch'aw chik chike:"
791,“K'ax wa'
792,Xib'an chiqe.
793,"Xaq qa chi',"
794,Xaq qa wach.
795,Amaq'el oj tzaqal chuwi' q'aq'.
796,Kojik'ato.
797,"Mawi k'ax xqana'o, xchitij k'ut."
798,"Xkixqaporoj,” xcha' ri ki b'o'j."
799,"Ronojel,"
800,Xq'utu ki wach.
801,"Are' ri ab'aj,"
802,"Ri ki xk'ub',"
803,"Chitaninik,"
804,"Chipe pa q'aq',"
805,"Taqal chi ki jolom,"
806,K'ax xb'an chike.
807,"Anilab'ik,"
808,Kemalmalijab' chik.
809,"Keraj aq'anik chuwi' ja,"
810,"Xa chiwulij ja, ketzaq uloq."
811,"Keraj aq'an chuwi' che',"
812,Kech'akix uloq ruma che'.
813,"Keraj ok pa jul,"
814,Xa chiyuch jul chikiwach.
815,"Keje' k'ut u kayojik winaq tz'aq,"
816,Winaq b'it.
817,"E tzixel,"
818,E tzalatzoxel chi winaq.
819,"Xma'ixik,"
820,Xq'utuxik
821,"Ki chi',"
822,Ki wach konojel.
823,"Xcha' k'ut are' retal,"
824,Ri k'oy
825,"K'o pa k'eche'laj wakamik,"
826,Are' xk'oje' wi retal.
827,Rumal xa che'
828,Ki tio'jil xkojik
829,"Rumal Aj Tz'aq,"
830,Aj B'it.
831,"Are' k'u ri k'oy,"
832,Keje' ri' winaq chiwachinik.
833,"Retal ju le' winaq tz'aq,"
834,Winaq b'it.
835,"Xa poy,"
836,Xa pu ajam che'.
837,
838,"Maja b'i q'ij,"
839,"Jun k'ut kunimarisaj rib',"
840,Wuqub' Kaqix u b'i'.
841,"K'o nab'e kaj,"
842,"Ulew,"
843,"Xa kamoymot u wach q'ij,"
844,Ik'.
845,"Kacha' k'u ri',"
846,Xa wi xere u saq etal winaq ri xb'utik.
847,Keje' ri' nawal winaq
848,U k'oje'ik.
849,"“In nim,"
850,Kik'oje' chik chuwi'
851,"Winaq tz'aq,"
852,Winaq b'it.
853,"In u q'ij,"
854,"In pu u saq,"
855,In nay pu rik'il.
856,Ta chuxoq.
857,Nim nu saqil.
858,"In b'inib'al,"
859,"In pu chakab'al rumal winaq,"
860,Rumal puwaq.
861,U b'aq' nu wach xa katiltotik
862,"Chi yamanik raxa k'uwal,"
863,"Nay pu we',"
864,"Rax kawakoj chi ab'aj,"
865,Keje' ri' u wa kaj.
866,"Are' k'u ri nu tza'm,"
867,"Saq julujuj chi naj,"
868,Keje' ri ik'.
869,Puwaq k'ut nu q'alib'al.
870,K'a saq pak'e u wach ulew
871,Ta kinel uloq
872,Chuwach nu q'alib'al.
873,"Keje' k'ut in q'ij wi,"
874,"In pu ik',"
875,"Rumal saqil al,"
876,Saqil k'ajol.
877,Ta chuxoq.
878,Rumal chi naj
879,"Kopon wi nu wach,” cha' ri Wuqub' Kaqix. "
880,"Ma k'u qitzij are' ta q'ij ri Wuqub' Kaqix,"
881,"Xere kunimarisaj rib',"
882,"Ri u xik',"
883,U puwaq.
884,Xere k'ut tokol wi u wach ri chiku'b'e wi.
885,Ma na ronojel ta u xe' kaj kopon wi u wach
886,"Maja' k'ut qi kiloq u wach q'ij,"
887,"Ik',"
888,"Ch'umil,"
889,Maja'oq kasaqiroq.
890,Keje' k'ut kuq'ob'isaj wi rib'
891,Ri Wuqub' Kaqix
892,"Chi q'ijil,"
893,Chi ik'il.
894,"Xa maja' chik'utunoq,"
895,Chiq'alajob'oq
896,"U saqil q'ij,"
897,"Ik',"
898,"Xa xurayij nimal,"
899,Ik'owen.
900,Are ta xb'anik b'utik
901,Kumal poy ajam che'.
902,"Keje' k'ut xchiqab'ij chik ta xkamik Wuqub' Kaqix,"
903,"Ta xch'akatajik,"
904,Ta xb'anatajik winaq
905,"Rumal Aj Tz'aq,"
906,Aj B'it.
907,WA'E u xe'
908,"U ch'akatajik,"
909,U yiqoxik chi puch u q'ij Wuqub' Kaqix
910,"Kumal e kaib' k'ajolab',"
911,"Junajpu u b'i' jun,"
912,Xb'alanke u b'i' u kab'.
913,Xa wi e k'ab'awil.
914,"Rumal itzel xkilo,"
