term_str,n,p,i,h,df,idf
bad,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
baked,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
ball,60,0.001494842792366336,9.385790515689608,0.014030281303038928,13,1.3439544012173612
ballplayers,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
bam,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
bank,4,9.965618615775574e-05,13.292681111298128,0.0013246979033632097,2,4.044394119358453
banner,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
bare,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
barely,3,7.474213961831681e-05,13.707718610576972,0.0010245442182403438,2,4.044394119358453
bark,3,7.474213961831681e-05,13.707718610576972,0.0010245442182403438,3,3.4594316186372973
barrier,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
bastard,4,9.965618615775574e-05,13.292681111298128,0.0013246979033632097,2,4.044394119358453
bastards,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
bat,10,0.00024914046539438933,11.970753016410766,0.0029823989776298684,4,3.0443941193584534
bath,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
bathe,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
bathed,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,1,5.044394119358453
bathing,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
bats,6,0.00014948427923663362,12.707718610576972,0.001899604157244054,2,4.044394119358453
be,191,0.004758582889032837,7.715252283262379,0.03671366749970388,33,0.0
beans,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
bear,3,7.474213961831681e-05,13.707718610576972,0.0010245442182403438,3,3.4594316186372973
bearded,10,0.00024914046539438933,11.970753016410766,0.0029823989776298684,2,4.044394119358453
beards,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
bearer,18,0.00044845283770990086,11.122756109855816,0.004988031540619978,7,2.237039197300849
bearers,4,9.965618615775574e-05,13.292681111298128,0.0013246979033632097,4,3.0443941193584534
bearerspoke,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
bearing,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
